I brought ... and gave ... where ... 	Babylon, my capital city, they saw my ... and ... their ... 
Whoever in the future, at any time, lodges a complaint, whether ... kiki or his sons, and seeks a lawsuit or litigation against Milki-nuri,	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
Witness Mahsi-Ia'u.	Witness Našuh-ayali, witness Ahi-le'i, viziers.
All water from the Euphrates that ... 	I have crossed the Euphrates ... times, twice in one year, in pursuit of the Aḫlamû-Arameans, to the land Ḫatti. I brought about their defeat from the foot of Mount Lebanon, the city Tadmar of the land Amurru, Anat of the land Sūḫu, as far as Rapiqu of Karduniaš (Babylonia). I brought their booty (and) possessions to my city Aššur.
... the harvest of the city ... 	... the heart of the king, our lord
A district of Urarṭu called ... 	Will the magnates and governors who are going to the district of Media ... 
Nabû-bel-šumate;	Witness Nabû-bel-šumati, scribe.
Second meal of the palace:	... in the possession of the palace
we cannot do the work.'"	When the cupbearer came, he said: "You shall call up the men, so I can do the work ... in ... !"
To the king, my lord: your servant Nabû-nadin-šumi. Good health  to the king, my lord! May Nabû and Marduk bless the king, my lord!	To the king, my lord: your servant Mar-Issar. Good health to the king, my lord! May Nabû and Marduk bless the king, my lord! May the great gods bestow lasting days, well-being and joy upon the king, my lord!
x+4 1-year-old (male) sheep,	x+27 1-year-old (male) kids, 
1 ... s, the house ... ;	whom they guided like a father and a mother, whose foes they killed, (and) whose adversaries they cut down; the one who the god Ea created for dominion over the world and ... in the entire ... ; (the one) who the luminary of the heavens, the god Sîn, crowned with the crown of lordship to make the foundation of the land firm (and) to organize the people; (the one) in whose hands the god Nabû, overseer of the universe, placed a just scepter (and) legitimate rod for shepherding a widespread population; ... to bring order to what is confused, to repair what is destroyed ... ; whose head they lifted to make the gods Bēl (Marduk) and Nabû reside ... ; who comprehends rational thought and counsel, who speaks eloquent (words), ... , administer of just verdicts; whose words are pleasing to the people like a mountain apple; to whom treacherous talk is taboo (and) lies an abomination; the forbearing one, the purification-priest ... ; who ... their taboo; protector ... ;
You put (on) her ... 	will put in order ... 
... I did not seal	the lord knows ... , eats ... I have not seen anything at all, except  ... 
50 of sown land under cultivation therein.	30 hectares of arable land, 15 hectares under cultivation therein.
40 ditto of shallots;	1 ditto (of) small dittos, 1 ditto (of) small doves;
Month Tebet (X), 22nd day, eponym year of Mannu-ki-šarri.	Month Tebet (X), 25th day, eponym year of Bel-na'id, commander-in-chief.
because of the capture ... 	If a filament lies crosswise in the base of the station ... ,
Nusku in the left side room of ditto.	For Mullissu to sit at the right-side watchtower is favourable. For Mullissu to sit at the right-side front is favourable. For Mullissu at the left-side watchtower ditto. For Mullissu at the left-side front ditto. For Šerua to sit on the right is unfavourable. To sit on the left is favourable.
Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may the entrails of your sons and your daughters roll down over your feet.	Just as young sheep and ewes and male and female spring lambs are slit open and their entrails rolled down over their feet, so may your entrails (and) the entrails of your sons and your daughters roll down over your feet.
Witness Šarru-šumu-ka''in.	Witness Marduk-šumu-iddina, ... 
To the king, our lord: your servants, Ṭab-šar-Sin, Akkullanu, and Marduk-šallim-ahhe. Good health to the king, our lord. May Aššur, (Sin), Šamaš, Nabû, Marduk ... bless the king, our lord	To the king, my lord: your servant Nabû-zeru-iddina. Good health to the king, my lord! May Aššur, Sin, Šamaš, Nabû and Marduk bless the king, my lord; may they grant the king, my lord, happiness and physical health.
... , the third day, eponymy of Daddî, the treasurer (622*).	Witness ... me. Witness Ṣalaya. Month ... , xth day, eponym year of Dadî, treasurer. Witness ... 
Month Tishri (VII), 22nd day, eponym year of Bel-šarrani, governor of Kurbail.	Month of Shebat (XI), 1st day, eponym year of Belšunu, governor of Hindana (648 B.C.).
Witness Sin-natannu, ... 	Witness Sin-ašared, 'third man' of the prince.
... gold for ... 	The king will be shut up in his palace; ... and good for the king my lord.
the priest ... to NN	... into the presence ... 
x black horses, 4 irginu-coloured ... ,	1 red horse, 3 irginu-coloured horses, 14 mares: in all 18 horses, 
The night of the 14th day there was no observation; let the son of the king sleep.	The night of the 15th day there was no observation; let the son of the king sleep.
of 2 male donkeys ... 	This work which they have done ... 
from Patibira ... !	Adad-belu-taqqin the ... has contracted and bought it for x minas of silver from Tab... 
(For) the god Nanna, king of the Enlil (circle of) gods, his lord: Sîn-balāssu-iqbi, viceroy of Ur, who provides for Eridu, built Ekišibgalekura, the abode of the god Ninimma.	(For) the god Nanna, king of the Enlil (circle) of gods, his lord: Sîn-balāssu-iqbi, the viceroy of Ur, who provides for Eridu, built Eešbanda, the abode of the goddess Šuzianna.
in all, 4 eunuchs.	in all, 4 female weavers.
in all 2 men, owners of the garden being sold.	Seal of Bel-aplu-iddina, chief singer of Til-Barsip, owner of the people being sold.
the village of Ha... ,	an estate of 4 hectares of land adjoining the road which leads from the village of Dannaya to the village of ... , a total of 5 (hectares) adjoining the field of Išmanni-... 
The upper and lower parts ... 	The commander-in-chief gives ... upper and lower.
If he sends him, will ... 	If he appoints him, will he instigate an insurrection and rebellion against Esarhaddon, king of Assyria, or against Assurbanipal, the crown prince of the Succession Palace, or will he cause others to instigate it?
Witness Issar-šumu-lešir.	Witness Issar-nadin-ahhe, ša šēpi guard.
... the gods will make a favorable decision about ... ; there will be rains and floods.	If the moon is not seen: the gods will make an unfavorable decision about the land ... 
... his land for flour	... the land of Raši ... 
... the king, my lord should know ... 	I have sent ... to the king, my lord; the king may act as  it (best) suits the king, my lord.
from Cutha ... 	News of Merodach-Baladan: he is in Babylon... will not overthrow him but ... 
The baths of Sîn: 	The base of the 'station' is protruding pointedly. In the top of the left surface of the 'finger' there is a 'weapon'-mark which faces the top of the 'finger.'
Ahu-iddina, 1 son, 1 wife of his: in all 3.	Ahu-iddina, son of his daughter from her temple-prostitution, of 3 spans —
18 ditto, ditto, the front ditto, 1 1/2 mina;	... ditto, ditto, the front red, of the port; 4 ... ;
quickly ... " —	Is this it? An inquiry ... 
Witness Aššur-na'id.	Witness Issar-na'id.
I decorated them with silver (and) copper knobbed nails... 	After the gods Aššur, Šamaš, Bēl, Nabû, Ištar of Nineveh, and Ištar of Arbela made me stand victoriously over my enemies and I attained everything I wanted, with the booty of the vast enemies which my hands had captured through the help of the great gods, my lords, I had the shrines of cult centers built in Assyria and Akkad; I decorated (them) with silver (and) gold and made (them) shine like daylight.
Witness Aššur-taqqinanni, ... 	Witness Aššur-ahu-iddina, oil-presser.
which in the city of ... 	... his ... in the town of ... 
Witness ... ti, son of Laiti-il.	Witness ... -hutni, son of Sin-ahu-iddina.
In the future may a later prince, when the storehouses  (and) their doors become dilapidated and he restores (them), rebuild as I did. May he restore my inscribed name to its place. (Then) the gods Aššur, Anu, and Adad will listen to his prayers.	In the future may a later prince, when that wall becomes dilapidated and he restores (it), restore as I did. May he return my inscribed name, my monumental inscriptions, and my clay inscriptions to their places. (Then) the god Aššur will listen to his prayers.
Shalmaneser, appointee of the god Enlil, vice-regent of the god Aššur, strong king, king of Assyria, son of Adad-nārārī (I), vice-regent of the god Aššur, son of Arik-dīn-ili (who was) also vice-regent of the god Aššur:	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), appointee of the god Enlil, vice-regent of Aššur, son of Arik-dīn-ili (who was) also appointee of the god Enlil (and) vice-regent of Aššur:
Abdi-Milkūti, its king, in the face of my weapons, fled into the midst of the sea. By the command of the god Aššur, my lord, I caught him like a fish from the midst of the sea and cut off his head. I carried off his wife, his sons, his daughters, his palace retainers, silver, gold, (ii 20') goods and property, precious stones, garments with trimming and linen(s), everything of value from his palace in huge quantities, (and) took away (his) far-flung people (who were) beyond counting, oxen, sheep and goats, (and) donkeys in huge numbers to Assyria. I gathered the kings of Ḫatti (Syria-Palestine) and the seacoast, all of them, and had (them) build a city in another place, and I named it Kār-Esarhaddon.	the one who conquered the city Sidon, which is in the midst of the sea, (i 15) (and) the one who leveled all of its dwellings — I tore out its wall(s) and its dwelling(s), and threw (them) into the sea; and I (even) made the site where it stood disappear. I caught Abdi-Milkūti, its king, (i 20) who had fled in the face of my weapons into the midst of the sea, like a fish from the midst of the sea and cut off his head. I carried off his amassed possessions, gold, silver, precious stones, (i 25) elephant hide(s), ivory, ebony, boxwood, garments with trimming and linen(s), everything of value from his palace in huge quantities, (and) took away his far-flung people who were beyond counting, oxen, sheep and goats, (and) donkeys (i 30) to Assyria. I gathered the kings of Ḫatti (Syria-Palestine) and the seacoast, all of them, and had (them) build a city in another place, and I named it Kār-Esarhaddon. (i 35) I settled in it people plundered by my bow from the eastern mountains and sea (and) I placed my official as governor over them. 
