...𒅅𒀜𒋫𒍝𒀸𒁉𒀉	... ig at-ta-ṣa ina be₂-et 	I brought ... and gave ... where ... 
𒌷𒌨𒊏𒄭𒈾𒀾𒌷𒆗𒉡𒋾𒋗𒉡𒊭𒄿𒈾𒆳𒉺𒈾𒊑𒈾𒁺𒌑𒁍𒌌𒄷𒀀𒁲𒊒𒈨𒇴𒀭𒀀𒋩𒂗𒅀𒅖𒄸𒋗𒉡𒋾𒈠𒀀𒈾𒋗𒍪𒌒𒀮𒊭𒋼𒋗𒉡𒀭𒈨𒌍𒋗𒉡𒁍𒊭𒋗𒉡𒅖𒋗𒌑𒀀𒈾𒄀𒊩𒆳𒆳𒄿𒊭𒄣𒋾𒆠𒈠𒄷𒅁𒁇𒋗𒄑𒇀𒈨𒌍𒅇𒌝𒈠𒈾𒋼𒅀𒈨𒌍𒇻𒀠𒆥𒀀𒇉𒄘𒃼𒇻𒂊𒄵𒁹𒊭𒁲𒀭𒋼𒊒𒌉𒄩𒀜𒌅𒄭𒈗𒊭𒌷𒌨𒊏𒄭𒈾𒀾𒄿𒈾𒆳𒋗𒈠𒄊𒈨𒌍𒅀𒄑𒁁𒌉𒈨𒌍𒀮𒉌𒀉𒊮𒁉𒋗𒅇𒁶𒋾𒋗𒀀𒈾𒇷𒂅𒌓𒋼𒊍𒁁𒁹𒋗𒅆𒊿𒆥𒍏𒈨𒌍𒉆𒄯𒌓𒅗𒁇𒅇𒉪𒈠𒀝𒌓𒅗𒁇𒃲𒈨𒌍𒋼𒀉𒋾𒈫𒋗𒅆𒀀𒈪𒇻𒋼𒈨𒌍𒄞𒈨𒌍𒍢𒉌𒄘𒌦𒅇𒈠𒁕𒀜𒋫𒅖𒊭𒀀𒄠𒄯𒋗𒂊𒄭𒅕𒋗𒈾𒄫𒋫𒋗𒀝𒅖𒉌𒅕𒂗𒋾𒅀𒂂𒌋𒅗𒋗𒀀𒈾𒍝𒀜𒌓𒈨𒌍𒌑𒄯𒆳𒃰𒈬𒄭𒂼𒋫𒀀𒈾𒋛𒆟𒋾𒊭𒀝𒋤𒀀𒈾𒄊𒈨𒌍𒅀𒌑𒊺𒅅𒉌𒅖	{URU}-ur-ra-ṭi₂-na-aš₂ URU dan-nu-ti-šu-nu ša i-na {KUR}-pa-na-ri na-du-u₂ pu-ul-hu a-di-ru me-lam {d}-a-šur EN-ia iš-hup₂-šu-nu-ti-ma a-na šu-zu-ub nap-ša-te-šu-nu DINGIR.MEŠ-šu-nu bu-ša-šu-nu iš-šu-u₂ a-na gi-sal-lat KUR-i ša-qu-ti ki-ma MUŠEN ip-par₂-šu {GIŠ}-GIGIR.MEŠ u₃ um-ma-na-te-ia.MEŠ lu al-qe {ID₂}-IDIGNA lu e-bir {m}-ša-di-{d}-te-šub DUMU ha-at-tu-hi LUGAL ša {URU}-ur-ra-ṭi₂-na-aš₂ i-na KUR-šu-ma GIR₃.MEŠ-ia iṣ-bat DUMU.MEŠ nab-ni-it lib₃-bi-šu u₃ kim-ti-šu a-na li-ṭu-ut-te aṣ-bat 1 šu-ši ruq-qi URUDU.MEŠ nam-har ZABAR u₃ nar₃-ma-ak ZABAR GAL.MEŠ-te it-ti 2 šu-ši a-mi-lu-te.MEŠ GU₄.MEŠ ṣe-ni GUN u₃ ma-da-at-ta iš-ša-a am-hur-šu e-ṭi₂-ir-šu na-piš-ta-šu ag-mil ni-ir EN-ti-ia DUGUD UGU-šu a-na ṣa-at UD.MEŠ u₂-kin₂ {KUR}-kat-mu-hi DAGAL-ta a-na si-hir-ti-ša ak-šud a-na GIR₃.MEŠ-ia u₂-še-ek-ni-iš 	With regard to the city Urraṭinaš, their stronghold situated in the land Panaru, the terror, fear, (and) splendor of the god Aššur, my lord, overwhelmed them. To save (ii 40) their lives they took their gods (and) possessions and flew like birds to ledges on high mountains. Taking my chariotry and army I crossed the Tigris. Šadi-Tešub, son of Ḫattuḫu, king (ii 45) of the city Urraṭinaš, submitted to me in his own land. I took his natural sons and his family as hostages. He brought to me as tribute and tax 60 copper kettles, bronze vats, (ii 50) and large bronze bath-tubs, together with 120 men, cattle, and sheep. I accepted his (tribute), spared him (and) preserved his life. (ii 55) I imposed upon him forever the heavy yoke of my dominion. I completely conquered the extensive land Katmuḫu and subdued it.
𒆳𒌨𒀫𒈠𒀀𒈾𒈗𒀖𒁷𒅇𒀀𒉌𒉌𒈪𒌅𒌅𒉌𒅁𒂁𒍣𒄿𒄣𒁕𒀭𒉡𒃻𒈗𒀀𒈾𒌋𒅗𒄭𒉌𒇷𒍣𒃵𒈠	KUR lik-ṣur-ma a-na LUGAL lid-din u₃ a-ni-ni mi-tu-tu ni-ib-luṭ zi-i-qu da-an-nu ša₂ LUGAL a-na UGU-hi-ni li-zi-qam-ma 	Let him organize the country and give it to the king, and may we, the dead ones, be revived; may the strong breeze of the king waft over us, so we shall be revived.
𒀸𒉿𒈫𒋙𒉡𒊏𒉺𒀾𒋾...	ina PI.2-šu₂-nu ra-pa-aš₂-ti ... 	Through their wide understanding they ... 
𒀯𒉌𒁁𒀀𒉡𒀸𒌗𒉈𒀀𒂇𒂗𒈾𒀉𒋾𒀯𒍣𒁀𒀭𒈾𒐖𒌍𒌑𒂅𒅅𒋼𒊒𒌒𒀾𒃻𒀉𒁲𒄷𒋙𒉿𒂡𒋙𒀀𒈾𒈗𒁁𒉌𒅀𒀀𒉺𒅁𒉺𒊏	{MUL}-ṣal-bat-a-nu ina {ITI}-NE a-mir en-na it-ti {MUL}-ZI.BA.AN.NA 150 u₂-ṭu iq-te-ru-ub aš₂-ša₂ iṭ-ṭe-hu-šu₂ pi-šir₃-šu₂ a-na LUGAL be-li₂-ia a-šap-pa-ra 	Mars was sighted in the month of Ab (V); now it has approached within 2.5 spans (= 3°30') of Libra. As soon as it has come close to it, I shall write its interpretation to the king, my lord.
𒌋𒌋𒉡𒀜𒋫𒇽𒀀𒁀𒊭𒋫𒊓𒋢𒌋𒉌𒋬𒅆𒈗𒂗𒅗𒆷𒌅𒉺𒇡𒁕𒀊𒋾𒀸𒅆𒈗𒆥𒁉𒂗𒀭𒀝𒁕𒀊𒋫𒅗𒀸𒅆𒈗𒌨𒁉𒌑	man-nu at-ta {LU₂}-A.BA ša ta-sa-su-u-ni TA@v IGI LUGAL EN-ka la tu-pa-zar ṭa-ab-ti ina IGI LUGAL qi-bi EN {d}-AG ṭa-ab-ta-ka ina IGI LUGAL liq-bi-u₂ 	Whoever you are, O scribe, who are reading (this letter), do not hide it from the king, your lord! Speak for me before the king, so Bel (and) Nabû may speak for you before the king.
𒀭𒀀𒉏𒀜𒀭𒈨𒌍𒁀𒉡𒌋𒅗𒆷𒈬𒋫𒍝𒄯𒀀𒈨𒌍𒀸𒋗𒈫𒀭𒌍𒊒𒁲𒊮𒈩𒌓𒋫...𒊮𒀭𒅗𒊮𒉆𒅗𒋗𒈫𒀭𒅗𒀭𒅖𒋻𒅗𒈜𒉺𒀜𒋛𒀀𒅗𒋳𒋡𒁉𒈠...	{d}-a-num AD DINGIR-MEŠ ba-nu-u ka-la-mu ta-za-mur A-MEŠ ina ŠU.2 {d}-30 ŠUB-di ŠA₃ rit-tu₂ ta-... ŠA₃ DINGIR-ka ŠA₃ NAM-ka ŠU.2 DINGIR-ka {d}-IŠ.TAR-ka lip-pa-aṭ-ṭir-ka taq-qa-bi-ma ... 	You throw hand-water to Sîn, ... the ‘heart’ (and) ‘wrist,’ and say: “May the heart of your god, the heart of your fate, the hand of your god and the hand of your goddess become disengaged for you!” You say (thus) and ... 
𒍜𒆲...𒀸𒀀𒈨𒌍𒍜𒆷𒍢𒁍𒀸𒅆𒀸𒋩𒄿𒃼𒆗	{UZU}-KUN ... ina A-MEŠ—UZU la ṣi-pu ina IGI aš-šur i-qar-rib 	The tail ... he offers to Aššur without soaking it in bouillon. 
𒁹𒀭𒉺𒋼𒀀𒅕𒀭𒉌𒇽𒊭𒂗𒉣𒁹𒌋𒐊𒈬𒄰𒊩𒋢𒊭𒃲𒌋𒋥𒃲𒌋𒋥𒌑𒊒𒌋𒊭𒀲𒆳𒊏𒈨𒌍𒆳𒈬𒀫𒀀𒀀𒀸𒌋𒅗𒄭𒅀𒈾𒍝𒈠𒀀𒀀𒁁𒈗𒅆𒄿𒈠𒀀𒀲𒆳𒊏𒀸𒌷...𒊺𒊑𒁀...	{1}-{d}-PA—KAR-ir-an-ni {LU₂}-ša—EN.NUN {1}-15—MU—KAM {LU₂~v}-rak-su ša {LU₂~v}-GAL—u-rat {LU₂~v}-GAL—u-rat u₂-ru-u ša {ANŠE}-KUR.RA-MEŠ {KUR}-mu-ṣur-a.a ina UGU-hi-ia na-ṣa ma-a a-bat LUGAL ši-i ma-a {ANŠE}-KUR.RA ina {URU}-... še-ri-ba ... 	The guard Nabû-eṭiranni and Issar-šumu-ereš, a recruit of the team commander, brought me a team of Egyptian horses, saying: "This is a royal order: ‘Bring the horse(s) into the city of ... 
𒀭𒌓𒂗𒍢𒊑𒌌𒌅𒌓𒈨𒊒𒄣𒌅𒅀𒀀𒅆𒌑𒋡𒈠𒀭𒉌𒀭𒈾𒃻𒅆𒋾𒌍𒁇𒀀𒆠𒉏𒊭𒊭𒆷𒈬𒈨𒊑𒐊𒌋𒆲𒉡𒌍𒊑𒂊𒋾𒀭𒌓𒅇𒀭𒅎𒌑𒃻𒀾𒆠𒉡𒄿𒈾𒋼𒅕𒋾𒅀	{d}-UTU EN ṣi-ri ul-tu UD.ME ru-qu-tu ia-a-ši u₂-qa-wa₆-an-ni an-na ša₂-lim-ti EŠ.BAR-a ki-nim ša ša-la-mu šip-ri-ia₂ u kun-nu eš-re-e-ti {d}-UTU u₃ {d}-IŠKUR u₂-ša₂-aš₂-ki-nu i-na te-er-ti-ia 	O Anunītu, exalted lady, speak good things about me in the presence of the god Enlil daily.
...𒁉...𒊭𒀀𒈾𒋗𒋗𒌒𒉌𒁺𒌓𒊻𒉌𒋗o𒌑𒆠𒅔𒉡...𒆰𒉌𒅆𒀭𒋀𒆠...	... bi ... ša a-na šu-šu-ub ni-du-tu₂ uz-ni-šu o u₂-ki-in-nu ... kul ni ši {d}-ŠEŠ.KI ... 	... whose mind, Nanna, the ... , has  turned to (re)settling the wasteland.
...𒌑𒊓𒀾𒀖𒅇𒀴𒈨𒌍𒃮𒁍...𒌑𒂗𒅔𒁹𒀭𒉺𒋳𒋃𒈠𒌑𒊓𒀾𒀖𒈠𒀀𒀸𒌋𒅗𒉿𒅀𒇷𒁍𒋗	... u₂-sa-aš₂-liṭ u₃ {LU₂~v}-ARAD-MEŠ gab-bu ... u₂ EN in {1}-{d}-PA—tak-lak-ma u₂-sa-aš₂-liṭ ma-a ina UGU pi-ia le-pu-šu 	Yet Nabû-taklak has also claimed authority over all the servants of ... , saying: "They should do as I command, the house of my lord should not exercise authority (over them)."
𒀭𒀸𒋩𒀭𒁁𒄀𒉡𒌋𒄀𒉡𒌑𒊓𒇷𒈠𒆪𒉡	{d}-aš-šur {d}-BE gi-nu-u gi-nu-u₂ sa-li-ma-ku-nu 	Aššur and Illil — regular offerings, regular offerings are your reconciliation!
𒀭𒈾𒈾𒀀𒃻𒌌𒌅𒐕𒌋𒐕𒌋𒐌𒍑𒌋𒐊𒈬𒀭𒈾𒈨𒌍𒋫𒀾𒁍𒋗𒈠𒌅𒅆𒁍𒀀𒊬𒆷𒋛𒈠𒋾𒃻𒀀𒁲𒌓𒈬𒅎𒇻𒌑𒅅𒋗𒁕𒀀𒆗𒉡𒀀𒋃𒃻𒀀𒈾𒀕𒆠𒂊𒆗𒃻𒀀𒈾𒂍𒄭𒇷𒀭𒈾𒅅𒁍𒌑𒈗...𒀸𒆠𒂍𒀭𒊹...	{d}-na-na-a ša₂ ul-tu GEŠ₂.U GEŠ₂.U 7 UŠ 15 MU.AN.NA.MEŠ ta-aš₂-bu-šu-ma tu-ši-bu a-šar la si-ma-ti-ša₂ a-di u₄-mu im-lu-u₂ ik-šu-da a-dan-nu a-lak-ša₂ a-na UNUG {KI} e-reb-ša₂ a-na e₂-hi-li-an-na iq-bu-u₂ LUGAL ... ina qi₂-bit AN.ŠAR₂ ... 	(As for) the goddess Nanāya, who 1,635 years (ago) became angry and (went to) live in a place not befitting her, as soon as the time had come (and) the fixed time had arrived, they (the gods) commanded her journey (back) to Uruk (and) her (re)entry into Eḫiliana. The king ... by the command of (the god) Aššur ... 
𒇻𒌑𒁹𒅖𒆗𒇻𒌑𒆳𒋫𒁀𒇴𒀀𒀀𒇻𒌑...𒇻𒌑𒇽𒉽𒌋𒌋𒈠𒇻𒌑𒀸𒆗𒌓𒈪𒇻𒌑𒀸𒆳𒈬𒅆𒄿𒇡𒊑𒈬𒌑𒄿𒆏𒉿𒁺𒌑𒁹𒌋𒅗...𒁹𒃻𒀭𒀝𒋗𒌑𒌋𒀉𒆗𒋛𒀀𒆠𒋗𒄿𒈠𒀝𒄣𒌅𒈠𒄿𒂁𒆪𒌑𒄿𒆸𒁀𒌅𒊮𒁉𒃻𒁹𒀭𒊹𒋀𒋧𒈾	lu-u₂ {1}-iš-kal-lu-u₂ {KUR}-ta-ba-lam-a.a lu-u₂ ... lu-u₂ {LU₂}-KUR₂ mam-ma lu-u₂ ina kal—UD-mi lu-u₂ ina šat—mu-ši i-ṣar-ri-mu-u₂ i-kap-pi-du-u₂ ana UGU ... {1}-ša₂—{d}-AG—šu-u₂ u A₂.KAL mal₂ KI-šu i-ma-aq-qu-tu-ma i-duk-ku-u₂ i-hab-ba-tu ŠA₃-bi ša₂ {1}-AN.ŠAR₂—ŠEŠ—SUM-na 	mount an attack against ... Ša-Nabû-šû and his army, and kill and plunder (them)?
𒀭𒄑𒉢𒈬𒄀𒈾𒄊𒀴𒁷𒌁𒆠...𒌑𒊺𒄫𒈠𒄑𒈣...𒈥𒍢𒅖𒅁𒉽𒆷...𒅖𒁲𒄴...𒀀𒈾𒊒𒆪𒁍𒁁𒇻𒋾𒋙𒃲𒌓𒀀𒆷𒆪𒌋𒋫𒀀𒊒...𒀭𒋃𒆕𒆠𒊹𒊏𒉺𒆤𒆧𒆳𒀭𒂊𒌋𒆠𒁴𒀸...𒀀𒈾𒇯𒁺𒋙𒂊𒈠𒈬𒌑𒍣𒁴𒆳𒁀𒆳𒍣𒁴𒂍𒆧...	{d}-GIŠ.NU₁₁-MU-GI.NA GIR₃.NITA₂ TIN.TIR {KI} ... u₂-še-piš-ma {GIŠ}-MA₂ ... mar-ṣi-iš ib-bab-la ... iš-di-ih ... a-na ru-ku-bu be-lu-ti-šu₂ GAL-tu₂ a-la-ku u ta-a-ru ... {d}-šid-du₃-ki-šar₂-ra pa-qid kiš-šat AN-e u KI-tim AŠ ... a-na E₁₁-šu₂ e-ma mu-u₂ ZI-ti₃ KUR ba-laṭ ZI-ti₃ E₂ kiš-... 	Šamaš-šuma-ukīn, viceroy of Babylon ... had (this) ... made and a boat ... it was brought with difficulty ... procession ... for the conveyance of his great lordship, (for his) going and returning ... , the god Šiddukišarra, who administers all of heaven and netherworld ... for his descent where water, the life of the land, the well-being of the house ... 
...𒀭𒁁𒀖𒀭𒈨𒌍𒊏𒋾𒌋𒌋𒋛𒀀𒃻𒇻𒃻𒀀...	... {d}-be-lit—DINGIR-ME eš-ra-ti min₃-si a-ša₂-lu ša₂ a-... 	... I asked ... Belet-ili, "Why?" ... 
𒁹𒀜𒁲𒄿𒁹𒈗𒇻𒆕𒊑𒁹𒁀𒄖𒋢	{1}-ad-di-i {1}-LUGAL—lu—da₃-ri {1}-ba-gu-su 	Addî, Šarru-lu-dari, Bagusu:
...𒀭𒈨𒌍𒋙𒉡𒈬𒃻𒀝𒇷𒅋𒋗𒈛𒄭𒋗𒌦𒊭𒀭𒀫𒌓𒀀𒈾𒋗𒋗𒁍𒈠𒄩𒍝𒀭𒈨𒌍𒄯𒁍𒌓𒅎𒁍𒌑𒉌𒂍𒋛𒇯𒈨𒌍𒈾𒁺𒋾𒌍𒊑𒂊𒋾𒀭𒈨𒌍𒅖𒆪𒉡𒋡𒌅𒍑𒋙	... DINGIR.MEŠ-šu₂-nu mu-ša₂-ak-li-il šu-luh-hi-šu-un ša {d}-AMAR.UTU a-na šu-šu-bu ma-ha-za DINGIR.MEŠ har-bu-tu₂ im-bu-u₂ ni-bit-si DU₆.MEŠ na-du-ti eš-re-e-ti DINGIR.MEŠ iš-ku-nu qa-tu-uš-šu₂ 	of their deities, the one who carries out their purification rites to perfection, whose name the god Marduk called to (re)settle the desolate cult center(s) of the gods, (and) in whose hands he placed the abandoned mounds (that were) the sanctuaries of the gods.
...𒌷𒉌𒆥𒌅𒌒𒇷𒅖	... {URU}-ni-qi—tu-ub-li-iš 	... Niqi-Tubliš
𒉺𒀭𒉌𒊑𒅀𒌑𒌁𒈠𒀀𒈾𒆳𒂖𒇷𒉿𒊍𒍝𒁁𒄯𒊏𒉡𒂖𒆷𒈬𒀀𒁹𒄑𒉺𒁀𒀀𒊏𒈗𒋙𒌦𒌷𒈨𒌍𒋙𒆗𒉡𒋾𒌑𒈦𒋓𒈠𒀀𒈾𒊒𒆠𒂊𒋾𒅔𒈾𒂍𒌷𒈥𒌑𒄫𒋾𒌷𒀝𒆪𒌓𒁺𒌷𒈨𒌍𒂍𒈗𒋾𒋙𒀀𒁲𒌷𒈨𒌍𒊭𒇷𒈪𒋾𒋙𒉡𒆳𒌓𒈠𒀾𒇻𒆷𒊩𒆷𒋢𒌦𒀊𒇧𒀝𒄥𒄿𒈾𒀭𒄑𒁇𒀝𒈬𒌷𒍢𒍢𒅕𒌓𒌷𒆪𒌝𒈠𒄴𒇻𒌷𒈨𒌍𒆗𒉡𒋾𒀀𒁲𒌷𒈨𒌍𒌉𒈨𒌍𒊭𒇷𒈪𒋾𒋙𒉡𒆳𒌓𒆳𒂍𒁹𒁀𒅈𒊒𒌑𒈾𒄖𒌑𒀀𒈾𒄀𒂇𒋾𒋙𒌌𒌅𒆠𒆗𒆳𒋙𒀊𒌇𒈠𒌋𒅗𒈪𒈲𒆳𒀸𒋩𒆠𒌑𒋥𒁲	pa-an ni-ri-ia u₂-ter-ma a-na {KUR}-el-li-pi aṣ-ṣa-bat har-ra-nu el-la-mu-a {m}-is-pa-ba-a-ra LUGAL-šu₂-un URU.MEŠ-šu₂ dan-nu-ti u₂-maš-šir-ma a-na ru-qe₂-e-ti in-na-bit {URU}-mar-u₂-biš-ti {URU}-ak-ku-ud-du URU.MEŠ E₂ LUGAL-ti-šu₂ a-di URU.MEŠ ša li-mi-ti-šu₂-nu KUR-ud-ma aš₂-lu-la šal-la-su-un ap-pul aq-qur i-na {d}-GIŠ.BAR aq-mu {URU}-ṣi-ṣi-ir-tu₂ {URU}-ku-um-ma-ah-lu URU.MEŠ dan-nu-ti a-di URU.MEŠ TUR.MEŠ ša li-mi-ti-šu₂-nu KUR-ud {KUR}-E₂-{m}-ba-ar-ru-u₂ na-gu-u₂ a-na gi-mir-ti-šu₂ ul-tu qe₂-reb KUR-šu₂ ab-tuq-ma UGU mi-ṣir KUR aš-šur {KI} u₂-rad-di 	I turned around (lit. “I turned the front of my yoke”) and took the road to the land Ellipi. Before my arrival, Ispabāra, their king, abandoned his fortified cities and fled far away. I conquered and plundered the cities Marʾubištu (and) Akkuddu, cities of his royal house, together with smal­l(er) settlements in their environs, (and then) I destroyed (them), devastated (them), (and) burned (them) with fire. I conquered the cities Ṣi(ṣ)ṣirtu (and) Kummaḫlum, fortified cities, together with the small(er) settlements in their environs. I detached from his land the district of the land Bīt-Barrû in its entirety, and I added (this area) to the territory of Assyria. 
𒇻𒌑𒄿𒈾𒅗𒄭𒂵𒋛𒅆𒂅𒌒𒁀𒀀𒋾𒇻𒌑𒄿𒈾𒆕𒌍𒄑𒆪𒉠𒅇𒋫𒄩𒍣𒇻𒌑𒄿𒈾𒊩𒈠𒅆𒌓𒉌𒆸𒋾𒃻𒉆𒇽𒍇𒇻𒋛𒀀𒅅𒌑𒁉𒊏𒀀𒋾𒃻𒀀𒅆𒈾𒌑𒋫𒀀𒊏𒀭𒌓𒅗𒃲𒋾𒍪𒂊	lu-u₂ i-na KA DUG₃.GA si-lim ṭu-ub-ba-a-ti lu-u₂ i-na DU₃-eš {GIŠ}-TUKUL MURUB₄ u₃ ta-ha-zi lu-u₂ i-na mim-ma ši-pir ni-kil-ti ša₂ NAM.LU₂.U₁₈.LU mal₂ GAL₂-u₂ bi-ra-a-ti ša₂-a-ši-na u₂-ta-a-ra DINGIR-ut-ka GAL-ti ZU-e 	If he goes,  will he, be it through friendliness and peaceful negotiations, or by waging war, or by whatever tricks, recover these fortresses? Does your great divinity know it?
𒀭𒀫𒌓𒂗𒃲𒀭𒂗𒆤𒀭𒀭𒋗𒁍𒌑𒉡𒌫𒀭𒀭𒀊𒁉𒂊𒋗𒄿𒈾𒆠𒁉𒋾𒅗𒍢𒅕𒋾𒊭𒆷𒈾𒀝𒊑𒂍𒂊𒇥𒋗𒆷𒆷𒀀𒋗𒇻𒍑𒁍𒄿𒈾𒆠𒅕𒁉𒊭𒅆𒁍𒌅𒇻𒊌𒋗𒌓𒇻𒍑𒁀𒀀𒇷𒀉𒌅𒌑𒋾𒅖𒌅𒀭𒌫𒀭𒌫𒀀𒁲𒀭𒉺𒀭𒉺𒂊𒈠𒀭𒌓𒀀𒍮𒌑𒊭𒈗𒈗𒆠𒅁𒊏𒀀𒋾𒊭𒅗𒀠𒋼𒉌𒊺𒂊𒋾𒁉𒆷𒀜𒋢𒉡𒅗𒁉𒀉𒋾𒇻𒌝𒄷𒌫𒆠𒅕𒁍𒍑𒊭𒇷𒄿𒁍𒌑𒀀𒄿𒈾𒆠𒅕𒁉𒊭𒀀𒈾𒁕𒌷𒀀𒋾𒍝𒀠𒈠𒀜𒂵𒂵𒁮𒇷𒁁𒂊𒇻	{d}-AMAR.UTU EN GAL {d}-EN.LIL₂ DINGIR.DINGIR šu-pu-u₂ nu-ur₂ DINGIR.DINGIR ab-be₂-e-šu i-na qi₂-bi-ti-ka ṣi-ir-ti ša la na-ak-ri E₂ e-pu₂-šu la-la-a-šu lu-uš-bu i-na qe₂-er-bi-ša ši-bu-tu lu-uk-šu-ud lu-uš-ba-a li-it-tu-u₂-ti iš-tu AN.UR₂ AN.UR₂ a-di AN.PA AN.PA e-ma {d}-UTU a-ṣu-u₂ ša LUGAL.LUGAL ki-ib-ra-a-ti ša ka-al te-ne₂-še-e-ti bi-la-at-su-nu ka-bi-it-ti lu-um-hu-ur₂ qe₂-er-bu-uš-ša li-i-pu-u₂-a i-na qe₂-er-bi-ša a-na da-ri₂-a-ti ṣa-al-ma-at qa₂-qa₂-dam li-be-e-lu 	O Marduk, the great lord, the Enlil of the gods, the resplendent one, the light of the gods — his ancestors — by your exalted command, which cannot be altered, may I be sated with the charms of the palace that I built; may I reach extreme old age (and) attain very old age inside it; may I receive inside it, from the horizon to the zenith, wherever the sun rises, substantial tribute from the kings of the regions of the entire inhabited world; (and) inside it may my descendants rule over the black-headed (people) forever.
𒁹𒂗𒊩𒅆𒀀𒁹𒅀𒁲𒀭	{1}-EN—šal-lim A {1}-ia-di—DINGIR 	Bel-šallim, son of Yadi'-il;
𒈠𒀀𒃻𒀭𒊩𒌆𒆤𒂼𒋙𒉌𒆷𒋫𒁄𒈛𒃻𒃽𒇹𒀭𒋫𒊑𒋢𒉌𒆷𒋫𒁄𒈛	ma-a ša₂ {d}-NIN.LIL₂ AMA-šu₂-ni la ta-pal-lah₃ ša₂ GAŠAN—arba-il₃ ta-ri-su-ni la ta-pal-lah₃ 	You whose mother is Mullissu, have no fear! You whose nurse is the Lady of Arbela, have no fear!
𒀭𒉡𒊩𒀸𒊮𒁉𒌷𒊭𒌉𒈩o𒀸𒌋𒅗𒀀𒇉𒍝𒉼𒋼𒀀𒊏𒆪𒁹𒈗𒅅𒁉𒌷𒇻𒊭𒌉𒈩𒀀𒀀𒀀𒁺𒂈𒈨𒌍𒈗𒁁𒉌𒌑𒁕𒈪𒄿𒉡𒊭𒈾𒋗𒌋𒉌𒀀...	an-nu-rag ina ŠA₃-bi {URU}-ša—tur-miš o ina UGU {ID₂}-za-ban kar-ra-ku {1}-LUGAL—iq-bi {URU}-lu—ša—tur-miš-a.a a-du {LU₂~v}-NIGIR₂-MEŠ LUGAL be-li₂ u₂-da mi-i-nu ša na-šu-u-ni a-... 	At the moment I am laid up in the town Ša-Turmiš on the Zab river. The  king, my lord, knows that I ... whatever Šarru-iqbi of Ša-Turmiš together  with the heralds have taken.
𒈬𒅘𒄫𒉌𒌓𒈾𒆕𒀀𒅀𒈬𒉺𒋃𒋃𒊑𒈬𒅀𒀭𒈨𒌍𒃲𒈨𒌍𒈠𒆷𒀸𒉌𒌓𒈾𒆕𒀀𒀭𒉌𒂊𒈬𒋙𒉡𒈾𒁍𒌋𒅇𒀭𒈨𒌍𒀀𒅆𒁍𒌓𒆠𒆗𒌓𒁴𒂼𒁴𒀝𒄑𒇷𒊒𒊒𒋗𒈠𒈬𒋙𒆰𒋙𒄿𒈾𒆳𒇷𒄬𒇷𒄣𒀀𒀀𒅕𒋗𒋗𒊑𒂊𒈬𒀸𒌀𒆥𒄷𒋚𒄭𒁍𒁍𒋾𒇷𒂍𒀭𒀴𒊏𒇷𒍝𒄴𒄭𒊒𒌦𒈨𒌍𒋙𒄿𒈾𒆠𒋫𒇽𒉽𒋙𒅗𒈩𒇷𒊺𒅆𒁍𒋙𒈠𒀀𒈾𒉌𒀸𒅆𒅀𒋙𒆳𒋢𒇺𒋰𒌓	mu-nak-kir {NA₄}-NA.RU₂.A-ia mu-pa-šiṭ šiṭ-ri MU-ia DINGIR.MEŠ GAL.MEŠ ma-la ina {NA₄}-NA.RU₂.A an-ne₂-e MU-šu₂-nu na-bu-u u₃ DINGIR.MEŠ a-ši-bu-ut qe₂-reb tam-tim DAGAL-tim ag-giš li-ru-ru-šu-ma MU-šu₂ NUMUN-šu₂ i-na KUR li-hal-li-qu a-a ir-šu-šu re-e-mu ina sun-qi hu-šah-hi bu-bu-ti li-pit {d}-er₃-ra li-ṣa-ah-hi-ru UN.MEŠ-šu₂ i-na KI.TA {LU₂}-KUR₂-šu₂ ka-miš li-še-ši-bu-šu₂-ma a-na ni-ṭil IGI.II-šu₂ KUR-su liš-tap-par 	(As for) the one who alters my stele (or) erases my inscribed name, may the great gods — as many as are mentioned by name on this stele — and the gods who live in the middle of the wide sea curse him angrily and make his name (and) his descendant(s) disappear from the land. (iv 70) May they not have pity (on him). May they reduce his people through famine, want, hunger, (and) plague. May they make him live in bondage under his enemy and may (his enemy) govern his land in the sight of his (own) eyes.
