not to harm ... 	... to conquer a land not obedient to me ... 
Month Iyyar (II), 14th day, eponym year of Upaq-ana-Arbail.	Month Iyyar (II), 6th day, eponym year of NN.
I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I made (them) hold their (the gates’) suitable door bolt(s).	I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I had (them) hold their (the gates’) suitable door bolt(s).
... with them to ... 	... powerful, Arik-dīn-ili the harvest of Esini ... he carried off. Esini, 33 chariots of ... with the ... he killed. Arik-dīn-ili in ... of his chariots he led. The chariots ... the city Arnuna of the land Nigimḫi, the fortress of the land ... Esini in the city Arnuna he shut up ... its ... (and) its gate he destroyed ... Arik-dīn-ili scattered ... all of ... took an oath to Arik-dīn-ili ... 
NN, gardener, his wife.	Mardî, gardener, his wife (and) his daughter, in all 3 persons, servants of Nabû-šumu-lešir —
Esarhaddon, king of the world, king of Assyria; son of Sennacherib, king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (re)built Esagil (5) and Babylon, ... , restored  the shrines of cult centers, completed the rites and ... , (10) (and) (re)confirmed the sattukku offerings ... of the great gods, am I.	I, Aššur-etel-ilāni-mukīn-apli, king of the world, king of Assyria, son of Sennacherib, king of the world (and) king of Assyria, descendant of Sargon (II), king of the world (and) king of Assyria; the one who (re)constructed the temple of the god Aššur, (5) (re)built Esagil and Babylon, restored the shrines of cult centers, completed the rites, (and) (re)confirmed the offerings of the great gods; I am also the one who knows how to greatly revere the gods and goddesses of heaven and netherworld.
a king who before ... 	who before ... came to Nippur and was told to ... , has ... in the outlet canals of Nippur and ... your gods. I am now sending him to the king, my lord, in the hands of ... 
I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then ... (vii 45') Until I had (it) reach the water table, I dug down into the water forty-five nindanu, then I bound together strong mountain stone below and above I expertly carried out its construction with large limestone (blocks) up to its copings.	I opened up a foundation pit for the outer wall, Badnigerimḫuluḫa, (which means) “Terrorizer of Enemies,” then I dug down forty-five nindanu and made (it) reach the water table. I bound together strong mountain stone in the water below and above I expertly carried out its construction with large limestone (blocks) up to its copings.
Nirgî             	Marduk-bani-zeri             
... of the royal road ... 	the ... of the Urarṭian ... 
Remanni-Adad, chariot driver of the king, has contracted and bought him from Mušezib-Marduk for 1 1/2 minas (of silver) by the (mina) of the king.	Remanni-Adad, chariot driver of the king, has contracted and bought them from Bel-aplu-iddina for 3 minas of silver (by the mina) of Carchemish.
x+1 ditto-garment, ditto, the front ... 	x+10 ditto, ditto, the front red, of the country
tribute of the month of ... 	... cattle of the month of ... ,
Witness Kiṣir-Aššur, ditto.	Witness Mušezib-Aššur, ditto.
Witness Nabû-kenu-balliṭ.	Witness Nabû-uballissu.
... they have given me	... have given (but) nobody ... 
In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks and date palm(s) of copper placed over wells.	In order to be able to draw water by bucket every day, I had bronze wire chains and bronze cables made and, instead of poles, I had tree trunks together with date palm(s) of copper placed over wells.
Tarhundapî has contracted and bought him for 32 shekels of silver.	Puṭi-athiš has contracted and bought him for 10 shekels of silver to be his son.
Ditto by all the gods of Sumer and Akkad!	Ditto by all the gods of the lands; ditto by all the gods of heaven and earth! Ditto by all the gods of one's land and one's district!
The Lady of Babylon, who has black wool on her back and red wool on her front, ... The red wool on her front is the blood of the heart which was shed.	The Lady of Babylon who has black wool on her back and red wool on her front ... : the red wool on her front is blood of the heart which was shed ... 
6 temple stewardesses ... ;	the temple steward ... 
I together with ... 	(As for) Yakīn-Lû, the king of the land Arwad, who resides in the middle of the sea (and) who had not bowed down to the kings, my ancestors, he bowed down to my yoke. He brought to Nineveh his daughter, together with a substantial dowry, to serve as a housekeeper, and he kissed my feet.
... resting place	Now ... are in place. Let the king, my lord, send ... to bring them into the house of ... 
Witness Na'nu, ... 	Witness NN, ... 
... as on the first day	The appointed time arrived and the days that the god Nannāru had commanded had elapsed. In the month Tašrītu (VII), (on) the seventeenth day, whose interpretation is “the day the god Sîn is favorable,” the god Sîn, the lord of the gods, whose name on the first day is “the weapon of the god Anu,” you (who) touch the sky and break the earth, the one who has gathered (to himself all of) the divine offices of highest rank, the one who has collected (all of) the divine offices of supreme power, the one who has taken (for himself all of) the divine offices of the rôle of the god Ea,
2 (cuts of) salted meat,	2 (cuts of) meat of 1 constant roast sheep.
220, the cupbearer(s).	Witness Zazî, chariot driver of the cupbearer.
Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deities ... , Šamaš, Adad, ... , (and) Nergal make his name (and) his seed disappear. Booty of the city Dumetu.	Palace of Sennacherib, king of Assyria. Whoever erases my inscribed name (or) places (it) in the service of a god (or another) person, may the deity ... make his name (and) his seed disappear. Booty of the city Dumetu.
To the 'farmer,' my lord: your servant Nabû-naṣir. May Nabû and Marduk bless the 'farmer', my lord!	To the king, my lord: your servant Nabû-naṣir. May Nabû and  Marduk bless the king, my lord!
Witness Ahu-lamur, horse trainer.	Witness Salamanu, horse trainer.
... your chosen name ... 	... you came ... 
... in the city Zikkû —	... in the city and the open country
Without the king ... 	... whom the king ... 
27 ... ;	4 minas ... ;
Witness Iqbi-ilu, ... 	Witness Laiti-il, ... 
x, Babylon;	(As for) the citizens of (the cities) Sippar, Nippur, Babylon, (and) Borsippa who through no fault of their own had been held captive in them, I put an end to their imprisonment and let them see the light (of day). (With regard to) their fields, which long ago, while the land was in disorder, the Sutians had taken away and appropriated for their own — I struck down (those) Sutians, the people of the steppe, with the sword. I restored to their former status their territories, (whose boundaries) had been forgotten (and) fallen into disuse during the troubled period in the land. I (re)-established the freedom (from obligations) of (the cities) Ur, Uruk, Eridu, Larsa, Kullaba, Kissik, (and) Nēmed-Laguda. Moreover, I returned their gods that had been carried off as booty to their cult centers and I restored their regular offerings that had been discontinued.
5 shekels, for ... 	in all 16 shekels ... 
Of NN ... 	Witness NN, ... 
x, Enuma Anu Enlil,	x one-column tablets, Enuma Anu Enlil,
Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of the deities Aššur, Anu, Sîn, Šamaš, Adad, Nergal, Ištar of Bīt-Kidmuri, Bēlet-ilī, and the (other) great gods, I: With white limestone, I laid the foundation(s) of the akītu-house, the residence of (the god) Aššur, my lord.	Sennacherib, king of the world, king of Assyria, the one who fashioned image(s) of the deities Aššur, Šerūa, Anu, Sîn, Šamaš, Adad, Ištar of Bīt-Kidmuri, Bēlet-ilī, Kaka, Ḫaya, Kusu, Lumḫa, Dunga, Egalkiba, and the (other) great gods, I: With limestone, stone from the mountains, I laid the foundation(s) of the akītu-house for the festival of the feast of (the god) Aššur.
2 minas 23 1/3 shekels, NN,	Sennacherib, king of the world, king of Assyria — golden  bracelets inlaid with ivory, a golden crown, a golden necklace, rings  for the upper arm; all these pieces of jewellery, inlaid with agate,   ... , and chalcedony, weighing 1 1/2 minas and 2 1/2 shekels, I gave to  Esarhaddon, my son, who henceforth shall be called  Aššur-etellu-mukin-apli, as a token of love.
Riba-Adad is the guarantor.	... -iddina is the guarantor.
To the king, my lord: your servant Ubru-Libbali. Good health to  the king, my lord!	To the king, my lord: your servant NN. Good health to the king, my lord!
... entered and	In the region of my road to the city Limalê (and) the city Kalše (which is) in the land Kadišḫaru i{I marched} ... I entered the city Apqu. I moved on from Apqu. I killed with my fierce bow five lions before the city Malḫina in the land Ḫatti.
