I brought ... and gave ... where ... 	... whom the king ... 
Witness Innanni, superintendent of Nineveh.	Witness Ubru-Issar, servant of ... 
3 seahs of grapes, 1 seah of ... ,	Witness Ubru-Issar, servant of ... 
I received payment from the chieftains of Chaldea, Balāssu of (the land Bīt)-Dakkūri (lit. “son of Dakkūri”), Nādinu of (the city) Larak, Marduk-apla-iddina (II) (Merodach-baladan) of (the land Bīt)-Yakīn (lit. “son of Yakīn”), king of the Sealand: natural, unrefined gold, silver, precious stones, ebony, ellūtu-wood, oxen, (and) sheep and goats.	Whoever in the future, at any time, breaks the contract, whether Sin-nadin-ahi or his sons or relatives, and seeks a lawsuit or litigation against Sin-šarru-uṣur and his sons, shall pay 10 minas of silver, 5 minas of gold, and four white horses to Sin residing in Harran, and shall return the silver tenfold to its owners. He shall contest in his lawsuit and not succeed.
The first day after we left the Palace, we stayed overnight in Ubasê. The boats are all right. On the next day, the gods of the king guarding, we shall safely arrive in the Inner City, and I shall personally bring the golden monsters ... into  the temple of Aššur.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
Witness Tabalayu, ditto. Witness NN.	Witness ... 
Aššur, the great lord, Adad, the great lord: die of Ilaḫalu, (5) the steward (masennu) of Shalmaneser, king of Assyria; governor of (10) the city Kipšuna, the lands Qumēnu, Meḫrānu, Uqu, (and) Erimmu; chief of customs:	Legitimate heir of Aššur-dān (I), bearer of the holy scepter, commander of the subjects of the god Enlil, the one whose deeds and offerings are pleasing to the great gods, and who lived to a ripe old age;
If it pleases the king, my lord, let us build the temple of DN, ... and let the inscription of the king, my lord, be put therein. However, let the king, my lord do as it pleases him.	I filled Mount Ḫauranu (Hauran) with ... (15) I carried off ... (and) ... thousand sheep. I conquered ... Moreover, as for her (Samsi?), the terrifying radiance of (the god) Aššur, my lord, overwhelmed her and ... I spared her so (she would) praise (the victory of the god Aššur)... I set up ... as governors. 
(He shall pay) 1/10 of the corn tax (and) 1/4 of the straw tax.	... ditto, ditto, the front red, of the port; 4 ... ;
If Gemini stand in the halo of the moon and ... 	adjoining the house of Ṣil-Nabû,
Urad-Adad, ... ;	4 minas ... ;
... the rites of Illilship and Eaship within ... 	... whom the king ... 
the stars of heaven flow in the pleasure garden. Pomegranates which are bedecked with clusters like grape vines ... in the garden ... I, Ashurnasirpal, in the delightful garden pick fruit like ... 	They did not agree but said: "We will not give them ... When the horses and mules ... , and he has come, then we shall pass them over." And they said: "Bring the men who went to Nabû-belu-ka''in, and we will ... !"
At that time I delineated in the sacred area of my city Aššur (which is on) the north side, remote regions, (and) much terrain. Eighty mušaru straight down its foundation pit I reached bedrock. I built Elugalumunkurkurra, the royal residence which I love, completed it from top to bottom, and deposited my monumental inscription.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
of the chief of the fodder supplies.	... ditto, ditto, the front red, of the port; 4 ... ;
This night, the moon was surrounded by a halo, and Jupiter and Scorpius stood in it.	... ditto, ditto, the front red, of the port; 4 ... ;
Emelamanna: the ziggurat of Anu.	adjoining the house of Ṣil-Nabû,
Witness Šarru-nadin-ahhe.	Witness ... 
total, the 28th day.	of the campaign ... 
To the god Marduk, his lord: Esarhaddon, king of Assyria, gave (this eyestone) for his (long) life.	To the king, my lord: your servant NN. Good health to the king, my lord!
... his ... ,	Witness ... 
They took booty ... 	... whom the king ... 
and after he had boasted in the middle ... 	adjoining the house of Ṣil-Nabû,
Seal of Lu-šakin son of Sariuni from the city of Bit-abi-ilaya, owner of the land being sold for a number of years.	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
Month Sivan (III) ... 	Witness ... 
As to the matter of the 'third man' and the chariot driver of the palace scribe, about whom the king, my lord, wrote to his servant, saying: "Tell me the truth!" — how could I speak dishonestly to the king, my lord? What have I been able to give to my lord in exchange for this favour that the king, my lord, has shown his servant? Would the patronage of the palace scribe have had such an influence over me that I would still be obliged to him? (No), I shall tell to the king, my lord, the thing that I have seen and heard.	On my third campaign, I marched against Baʾalu, the king of the land Tyre who resides in the middle of the sea. Because he did not honor my royal command(s and) did not obey the pronouncement(s) from my lip(s), (iii 20') I set up outposts against him. To prevent his people from leaving, I reinforced (its) garrison. By sea and dry land, I took control of (all of) his routes (and thus) cut off (all) access to him. (iii 25') I made water and food for the preservation of their lives scarce for their mouths. I confined them in a harsh imprisonment from which there was no escape. I constricted (and) cut short their lives. I made them (the people of Tyre) bow down to my yoke.
Nabû-šumu-iddina;	 Issar-šumu-... 
All this ... came in.	Witness ... 
I am indeed the provider.	The day (means) the sun. 
30 horses, ṣibtu-tax;	A case for spears, of iron;
He refused the river ordeal.	... they removed again
The chariots are in my charge in Arzuhina. Those which ... 	Disregard that an unclean person has performed extispicy in this place... 
... -Nabû together	... we captured
Seal of Mutaqqin-ilu, owner of the man.	The city Iallgu of Bīt-Adini I conquered.
... left of the moon ... 	4 minas ... ;
Month Tammuz (IV), ... th day, eponym year of Mannu-ki-Adad.	Month ... , 23rd day, eponym year of Zazaya.
... is present, and the left side of the 'finger' faces the top of the lung. Favorable... 	Disregard that an unclean person has performed extispicy in this place... 
... I establish 	... we arrived
Nabû-bel-šimate, the Sealander, who did not keep the favor of Assurbanipal, king of Assyria, your creature, his lord, who invoked your great name lightly, and disregarded it haughtily —	shall place 10 minas of refined silver (and) x minas of pure gold in the lap of Ninurta residing in Calah, and shall return the money tenfold to its owners. He shall contest in his lawsuit and not succeed.
May the god Marduk, great lord, look upon this work of mine (with pleasure) and may he grant (a long) life to Sargon, the prince who provides for him. May his reign be as firm as the foundation of Babylon.	Perhaps the king will say: "Have they started a lawsuit against somebody?" By Bel, Nabû, (and) the gods of the king ... , I sent these words to the king, my lord, only today. May the lord of kings do as he deems best, and may Enlil, Šamaš and Marduk, the great gods, and the gods of Nippur and Babylon lengthen the days of the king, my lord.
