x talents, Sam'al;	x talents, the manager of the Review Palace;
Shalmaneser, appointee of the god Enlil, vice-regent of the god Aššur, strong king, king of Assyria, son of Adad-nārārī (I), vice-regent of the god Aššur, son of Arik-dīn-ili (who was) also vice-regent of the god Aššur:	Shalmaneser, appointee of the god Enlil, vice-regent of Aššur, son of Adad-nārārī (I), vice-regent of Aššur, son of Arik-dīn-ili (who was) also vice-regent of Aššur:
Abdi-Milkūti, its king, in the face of my weapons, fled into the midst of the sea. By the command of the god Aššur, my lord, I caught him like a fish from the midst of the sea and cut off his head. I carried off his wife, his sons, his daughters, his palace retainers, silver, gold, (ii 20') goods and property, precious stones, garments with trimming and linen(s), everything of value from his palace in huge quantities, (and) took away (his) far-flung people (who were) beyond counting, oxen, sheep and goats, (and) donkeys in huge numbers to Assyria. I gathered the kings of Ḫatti (Syria-Palestine) and the seacoast, all of them, and had (them) build a city in another place, and I named it Kār-Esarhaddon.	the one who conquered the city Sidon, which is in the midst of the sea, (i 15) (and) the one who leveled all of its dwellings — I tore out its wall(s) and its dwelling(s), and threw (them) into the sea; and I (even) made the site where it stood disappear. I caught Abdi-Milkūti, its king, (i 20) who had fled in the face of my weapons into the midst of the sea, like a fish from the midst of the sea and cut off his head. I carried off his amassed possessions, gold, silver, precious stones, (i 25) elephant hide(s), ivory, ebony, boxwood, garments with trimming and linen(s), everything of value from his palace in huge quantities, (and) took away his far-flung people who were beyond counting, oxen, sheep and goats, (and) donkeys (i 30) to Assyria. I gathered the kings of Ḫatti (Syria-Palestine) and the seacoast, all of them, and had (them) build a city in another place, and I named it Kār-Esarhaddon. (i 35) I settled in it people plundered by my bow from the eastern mountains and sea (and) I placed my official as governor over them. 
Mercury ... its position	If Mercury ... in the constellation ... 
They are systematically scaring me. There is no friend of mine here. I put my trust in the king, my lord. I do not give one shekel (or even) half a shekel to anybody but the king, my lord.	Perhaps the king, my lord, will say: "Why haven't you arrested him?" He is in his presence. I am afraid, I cannot seize him without the king, my lord's permission. The king, my lord, should know that there are many in the entourage of the king, my lord, who have invested silver in this house — they and the merchants are systematically scaring me. I (however) put my trust in the king, my lord. I don't give one shekel (or even) half a shekel to anybody but the king, my lord. The king, my lord, should know (this).
adjoining the estate of Marduk-belu-uṣur,	adjoining the estate of Bel-šarru-uṣur —
a basket of fruit,	a basket of (mixed) fruit.
(With regard to) 154 talents, 26 minas, (and) 10 shekels of red gold, 1,604 talents (and) 20 minas of pure silver, copper, iron, obsidian, lapis-lazuli, banded agate, (... ) blue turquoise, green turquoise (... ), (iii' 5) (and) muššaru-stone in large quantities, blue-purple wool, red-purple wool, garments with multi-colored trim and linen (garments), boxwood, cedar, cypress, (and) every kind of aromatic, the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) third year, I presented (these things) as gifts (iii' 10) to the deities Marduk, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.	blue turquoise, green turquoise, ... of banded agate (and) muššaru-stone ... , (vii 10) copper, tin, iron, lead, ... skilled ... , blue-purple wool, red-purple wool, garments with multi-colored trim and linen (garments), boxwood, cedar, cypress, (and) every kind of aromatic, (vii 15) the products of Mount Amanus, whose scent(s) are pleasant — from the beginning of my reign until (my) fourth year, I presented (these things) as gifts to the deities Marduk, Zarpanītu, Nabû, Tašmētu, and the (other) gods who dwell in the cult centers of the land of Sumer and Akkad.
In the future may a later prince, when the facing (of the quay wall) and the drains therein become dilapidated and he renews (them), restore the name of Aššur-uballiṭ (I), my forefather, and my inscribed name to their places. (Then) Aššur will listen to his prayers.	In the future may a later prince, when that temple becomes dilapidated and he restores (it), restore my monumental inscriptions and inscribed name to their places. (Then) Aššur will listen to his prayers.
... on the 14th day the moon was seen with the sun.	If the moon and sun are in balance: reliable speech will be placed in the mouth of people; ... ; i.e. on the 14th day (the moon) will be seen with the sun.
We will ... Šamaš-šumu-ukin ... , 	The ... s whom the king, my lord, stationed in Babylon for guard duty, have turned their ... against the king, my lord. They are capturing ... and subjugating the city, and ... in their midst have ... Šamaš- šumu-ukin.
The moon will be seen together with the sun, it will let the eclipse pass by, it will not make (it).	The moon will complete the day in Tammuz (IV); on the 14th day, it will be seen with the sun. It will let the eclipse pass by; it will not make it.
May Šamaš with an iron plough overturn your city, your  country and your district.	May Šamaš with an iron plough overturn your city and your district.
700 men ... 	and to my men ... 
And Bel-Harran-... 	it reads as follows: "In Harran ... 
... judgement of the city ... 	... in the city ... 
... -šaduni ... 	... -niše ... ,
Šamaš-šallim, horse trainer;	Witness Šamšanni-ilu, horse trainer.
Month Elul (VI), 5th day, eponym year of Nabû-nadin-ahi.	Month Elul (VI), 29th day, eponym year of Zazaya.
Ilu-u... , reporter.	Of Marduk-šumu-uṣur. Nergal-šarru-uṣur, reporter.
Etel-pu;	Hand of Zazâ, city scribe, son of Babu-ahu-iddina ditto, son of Ešrayu ditto, son of Ubru-Nabû ditto, son of NN ditto, son of Nabû-bel-ili ditto, son of Ahu-riba city scribe ditto (sic), son of ... -Aššur ditto, son of Aššur-kinanni ditto, son of Sîn-aplu-iddina ditto, son of DN-šakin-šumi ditto, son of Marduk-kabti-ahhešu ditto, son of Aššur-bel-ilani ditto, son of ... ya ditto, son of Aššur-idnanni city scribe ditto (sic), descendant of Etel-pi-Mar-duk, scribe of the tablet house.
To the king, our lord: your servants Nabû-ahhe-lumur and NN. Good health to the king, our lord. The city and the guard of the king, our lord, are well.	To the king, my lord: your servant Il-yada'. Good health to the king, my lord! The land and the forts of the king my lord are well. The king, my lord, can be glad.
Nabû-ahu-iddina ... 	Witness Bel-zeru-iddina, ... 
I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 15') In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.	I raged up like a lion, then put on armor (and) placed a helmet suitable for combat on my head. (v 60) In my anger, I rode quickly in my exalted battle chariot, which lays enemies low. I took in my hand the mighty bow that the god Aššur had granted to me (and) I grasped in my hand an arrow that cuts off life.
When they came ... 	have not given to me ... 
As for the one who removes my inscriptions and my name: May the goddess Ištar, my mistress, break his weapon (and) hand him over to his enemies.	As for the one who removes my inscriptions and my name: May the god Aššur, my lord, overthrow his sovereignty (and) destroy his name (and) his seed from the land.
the woman (... )kabuttu	Witness Urda-Issar, son of the woman ... 
We shall see ... 	... and shall send ... 
The 'path' and 'well-being' are present ... 	... The 'station' is present. The 'path' is present. The 'strength' and 'well-being' are present. In the left side of the gall bladder a 'foot'-mark is overturned ... 
... of the Review Palace.	I have personally brought the people of Sin-šabši into the king, my  lord's presence: once to the Review Palace and once to Nineveh.
Hana-Si, shepherd;	Dannaya, shepherd; Il-natani; 1 woman: a total of 3 people. 60 sheep, — tax quota assigned.
... , the Sun-image, ... ,	... on the image ... 
2 cuts of shoulder of an ox  of the temple of Dagan, of the chief treasurer;	7 (cuts of) meat of an ox, of the temple of Dagan — of the commander-in-chief.
... beet-like carnelian	1 piece of beet-like carnelian for 1.
Month Iyyar (II), 14th day, eponym year of Upaq-ana-Arbail.	Month Iyyar (II), 6th day, eponym year of NN.
before the (king) of Hamath ... 	The eunuch crouched before the king ... 
I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I made (them) hold their (the gates’) suitable door bolt(s).	I expertly fashioned four mountain sheep colossi of silver (and) bronze, together with mountain sheep colossi of massive mountain stone, and in four directions I had (them) hold their (the gates’) suitable door bolt(s).
... with them to ... 	Tiglath-pileser, strong king, king of the universe, king of Assyria, king of all the four quarters, ... who with the aid of ... , the king who the Deluge of ... approach of battle ... the god Girru (fire god) encircler of ... whose command
