...𒅅𒀜𒋫𒍝𒀸𒁉𒀉	... ig at-ta-ṣa ina be₂-et 	I brought ... and gave ... where ... 
𒌑𒈠𒀀𒀭𒉡𒋆𒀀𒈾𒈗𒂗𒐊𒀀𒉺𒅁𒊏𒈪𒄿𒉡𒊭𒈗𒁁𒉌𒄿𒃮𒁍𒌋𒉌𒇺𒁓𒌋𒉌	u₂-ma-a an-nu-rig a-na LUGAL EN-ia₂ a-sap-ra mi-i-nu ša LUGAL be-li₂ i-qab-bu-u-ni liš-pur-u-ni 	Now then I am writing to the king, my lord. Let them write to me what the king my lord's instructions are.
𒁹𒄵𒅀𒋫𒀀𒋼𒌉𒁹...	{1}-bir—ia-ta-a-te DUMU {1}-... 	Bir-yatate, son of NN, ... 
𒆳𒁹𒀭𒌍𒉽𒈨𒌍𒋢...	KUR {m}-{d}-30-PAP.MEŠ-SU ... 	Palace of Sennacherib, (... ) ... 
𒁹𒀯...𒁹𒅆𒀭𒌍𒀉𒄭𒈠𒁺𒄑...𒋾𒄿𒃻𒁉𒈠...𒈗𒆳𒊻𒉡𒌑𒊐𒉺𒀾...	1 {MUL}-... ana IGI {d}-30 iṭ-hi-ma GUB-iz ... ti i-ša₂-bi-ma ... LUGAL KUR uz-nu u₂-rap-pa-aš₂ ... 	If ... comes close to the moon and stands there: ... will be sated ... the king of the land will widen (his) understanding ... 
...𒀖𒌑...	... REM₂-u₂ ... 	the compassionate god to whom it is good to pray ... ;
𒂍𒀀𒉌𒅀...	E₂-a-ni-ia ... 	my inside ... 
...𒄿𒁺𒆪...	... i-du-ku ... 	They killed ... 
...𒁳𒁉𒂗𒂗𒂗𒂗𒂗𒂗𒀭𒀫𒌓	... dib-bi EN—EN.EN EN—EN.EN {d}-AMAR.UTU 	... words of the Lord-of-Lords, Marduk, ... 
𒄿𒈾𒁀𒊩𒅗𒉌𒊿𒀊𒋾𒁉𒅕𒊑𒌑𒉻𒋫𒀀𒀭𒆗𒈨𒌍𒉌𒌓𒄑𒉢𒃲𒅗𒄠𒋛𒊭𒆤𒈬𒊓𒈩𒋫𒊿𒁄𒌅𒆪𒊻𒁍𒄭𒀉𒇻𒉺𒇻𒇷𒂊𒈠𒆷𒀀𒄿𒈾𒆍𒈨𒌍𒅆𒅔𒌌𒁁𒈠𒀀𒈾𒋰𒊏𒀀𒋾𒌑𒃻𒌨	i-na ba-rak-ka-ni-šin ap-ti bi-ir-ri u₂-pat-ta-a {d}-LAMMA.MEŠ {NA₄}-GIŠ.NU₁₁.GAL ZU₂ AM.SI ša kit-mu-sa rit-ta-šin bal-tu ku-uz-bu hi-it-lu-pa lu-le-e ma-la-a i-na KA₂.MEŠ-ši-in ul-ziz-ma a-na tab-ra-a-ti u₂-ša₂-lik 	In their corridors, I made openings for latticed windows. At their gates, I stationed apotropaic figures of alabaster (and) elephant ivory, whose hands are folded, who are laden with pride (and) allure, (and) who are filled with exuberance, and (thus) I made (them) an object of wonder. 
...𒁹𒀭𒀫𒌓𒌋𒌋𒋀𒀸𒉈𒌋𒌋𒉌	... {1}-{d}-AMAR.UTU—MAN-ŠEŠ ina ṭe₃-man-ni 	... Marduk-šarru-uṣur in reports
𒀯𒉌𒁁𒀀𒉡𒀀𒈾𒀯𒄈𒋰𒋼𒈠	{MUL}-ṣal-bat-a-nu a-na {MUL}-GIR₂.TAB TE-ma 	— Mars came close to Scorpius.
𒇻𒌑𒄿𒈾𒍠𒆠𒂊𒃮𒁍𒇽𒂟𒈨𒌍𒃻𒄿𒈾𒌋𒅗𒋛𒄭𒄭𒃻𒀉𒁲𒁍𒌒𒌋𒉌𒇻𒋀𒈨𒌍𒋙𒌦𒌉𒈨𒌍𒋙𒌦𒌉𒋀𒈨𒌍𒋙𒌦𒌉𒋀𒈨𒌍𒋙𒌦𒇻𒌑𒂗𒁵𒈨𒌍𒋙𒌦𒂗𒁵𒈨𒌍𒋙𒌦𒂗𒃻𒈨𒌍𒋙𒌦𒂗𒃻𒈨𒌍𒋙𒌦𒇻𒃻𒄑𒋛𒋙𒌦𒅖𒈬𒌑𒉌𒌑𒁺𒌑𒉌	lu-u₂ i-na zak-ke-e gab-bu {LU₂}-ERIM-MEŠ ša₂ i-na UGU si-hi HI.GAR id-di-bu-ub-u-ni lu ŠEŠ-MEŠ-šu₂-un DUMU-MEŠ-šu₂-un DUMU—ŠEŠ-MEŠ-šu₂-un DUMU—ŠEŠ-MEŠ-šu₂-un lu-u₂ EN—MUN-MEŠ-šu₂-un EN—MUN-MEŠ-šu₂-un EN—NINDA-MEŠ-šu₂-un EN—NINDA-MEŠ-šu₂-un lu ša₂ is-si-šu₂-un iš-mu-u₂-ni u₂-du-u₂-ni 	or any of the exempt, the troops who plotted sedition and rebellion, or their brothers, (or) their sons, or their nephews, or their friends and guests, or those who are in their confidence,
...𒀀𒈾𒈗𒆷𒁕𒀀𒁉𒅁𒁍𒋙	... a-na LUGAL la ṭa-a-bi ip-pu-šu₂ 	... are doing what is not good to the king.
𒀭𒇡𒉺𒉌𒌈𒊭𒋗𒈫𒃻𒋻𒍝𒉌𒀀𒈾𒀭𒀸𒋩𒀭𒀀𒉏𒀭𒌍𒀭𒌓𒀭𒅎𒌅𒍝𒀠𒆷𒈠𒀀𒀭𒂗𒁄𒇷𒁕𒈠𒀀𒆷𒋫𒂁𒅗𒀀𒋗	{d}-zar-pa-ni-tum ša ŠU.2-ša₂ tar-ṣa-ni a-na {d}-aš-šur {d}-a-num {d}-30 {d}-UTU {d}-IM tu-ṣa-al-la ma-a {d}-EN bal-li-ṭa ma-a la ta-duk-ka-a-šu 	Zarpanitu, whose hands are stretched out, prays to Aššur, Anu, Sin, Šamaš and Adad: "Let Bel live! Do not kill him!
𒌷𒌨𒊏𒄭𒈾𒀾𒌷𒆗𒉡𒋾𒋗𒉡𒊭𒄿𒈾𒆳𒉺𒈾𒊑𒈾𒁺𒌑𒁍𒌌𒄷𒀀𒁲𒊒𒈨𒇴𒀭𒀀𒋩𒂗𒅀𒅖𒄸𒋗𒉡𒋾𒈠𒀀𒈾𒋗𒍪𒌒𒀮𒊭𒋼𒋗𒉡𒀭𒈨𒌍𒋗𒉡𒁍𒊭𒋗𒉡𒅖𒋗𒌑𒀀𒈾𒄀𒊩𒆳𒆳𒄿𒊭𒄣𒋾𒆠𒈠𒄷𒅁𒁇𒋗𒄑𒇀𒈨𒌍𒅇𒌝𒈠𒈾𒋼𒅀𒈨𒌍𒇻𒀠𒆥𒀀𒇉𒄘𒃼𒇻𒂊𒄵𒁹𒊭𒁲𒀭𒋼𒊒𒌉𒄩𒀜𒌅𒄭𒈗𒊭𒌷𒌨𒊏𒄭𒈾𒀾𒄿𒈾𒆳𒋗𒈠𒄊𒈨𒌍𒅀𒄑𒁁𒌉𒈨𒌍𒀮𒉌𒀉𒊮𒁉𒋗𒅇𒁶𒋾𒋗𒀀𒈾𒇷𒂅𒌓𒋼𒊍𒁁𒁹𒋗𒅆𒊿𒆥𒍏𒈨𒌍𒉆𒄯𒌓𒅗𒁇𒅇𒉪𒈠𒀝𒌓𒅗𒁇𒃲𒈨𒌍𒋼𒀉𒋾𒈫𒋗𒅆𒀀𒈪𒇻𒋼𒈨𒌍𒄞𒈨𒌍𒍢𒉌𒄘𒌦𒅇𒈠𒁕𒀜𒋫𒅖𒊭𒀀𒄠𒄯𒋗𒂊𒄭𒅕𒋗𒈾𒄫𒋫𒋗𒀝𒅖𒉌𒅕𒂗𒋾𒅀𒂂𒌋𒅗𒋗𒀀𒈾𒍝𒀜𒌓𒈨𒌍𒌑𒄯𒆳𒃰𒈬𒄭𒂼𒋫𒀀𒈾𒋛𒆟𒋾𒊭𒀝𒋤𒀀𒈾𒄊𒈨𒌍𒅀𒌑𒊺𒅅𒉌𒅖	{URU}-ur-ra-ṭi₂-na-aš₂ URU dan-nu-ti-šu-nu ša i-na {KUR}-pa-na-ri na-du-u₂ pu-ul-hu a-di-ru me-lam {d}-a-šur EN-ia iš-hup₂-šu-nu-ti-ma a-na šu-zu-ub nap-ša-te-šu-nu DINGIR.MEŠ-šu-nu bu-ša-šu-nu iš-šu-u₂ a-na gi-sal-lat KUR-i ša-qu-ti ki-ma MUŠEN ip-par₂-šu {GIŠ}-GIGIR.MEŠ u₃ um-ma-na-te-ia.MEŠ lu al-qe {ID₂}-IDIGNA lu e-bir {m}-ša-di-{d}-te-šub DUMU ha-at-tu-hi LUGAL ša {URU}-ur-ra-ṭi₂-na-aš₂ i-na KUR-šu-ma GIR₃.MEŠ-ia iṣ-bat DUMU.MEŠ nab-ni-it lib₃-bi-šu u₃ kim-ti-šu a-na li-ṭu-ut-te aṣ-bat 1 šu-ši ruq-qi URUDU.MEŠ nam-har ZABAR u₃ nar₃-ma-ak ZABAR GAL.MEŠ-te it-ti 2 šu-ši a-mi-lu-te.MEŠ GU₄.MEŠ ṣe-ni GUN u₃ ma-da-at-ta iš-ša-a am-hur-šu e-ṭi₂-ir-šu na-piš-ta-šu ag-mil ni-ir EN-ti-ia DUGUD UGU-šu a-na ṣa-at UD.MEŠ u₂-kin₂ {KUR}-kat-mu-hi DAGAL-ta a-na si-hir-ti-ša ak-šud a-na GIR₃.MEŠ-ia u₂-še-ek-ni-iš 	With regard to the city Urraṭinaš, their stronghold situated in the land Panaru, the terror, fear, (and) splendor of the god Aššur, my lord, overwhelmed them. To save (ii 40) their lives they took their gods (and) possessions and flew like birds to ledges on high mountains. Taking my chariotry and army I crossed the Tigris. Šadi-Tešub, son of Ḫattuḫu, king (ii 45) of the city Urraṭinaš, submitted to me in his own land. I took his natural sons and his family as hostages. He brought to me as tribute and tax 60 copper kettles, bronze vats, (ii 50) and large bronze bath-tubs, together with 120 men, cattle, and sheep. I accepted his (tribute), spared him (and) preserved his life. (ii 55) I imposed upon him forever the heavy yoke of my dominion. I completely conquered the extensive land Katmuḫu and subdued it.
...𒀀𒀀...	... a.a ... 	... ayu — ... 
𒁁𒄈...	BE GIR₂ ... 	The 'paths' are two ... 
𒅆𒁹𒌀𒆷𒀀𒀀...	IGI {1}-til-la-a.a ... 	Witness Tillayu, ... 
𒆳𒌨𒀫𒈠𒀀𒈾𒈗𒀖𒁷𒅇𒀀𒉌𒉌𒈪𒌅𒌅𒉌𒅁𒂁𒍣𒄿𒄣𒁕𒀭𒉡𒃻𒈗𒀀𒈾𒌋𒅗𒄭𒉌𒇷𒍣𒃵𒈠	KUR lik-ṣur-ma a-na LUGAL lid-din u₃ a-ni-ni mi-tu-tu ni-ib-luṭ zi-i-qu da-an-nu ša₂ LUGAL a-na UGU-hi-ni li-zi-qam-ma 	Let him organize the country and give it to the king, and may we, the dead ones, be revived; may the strong breeze of the king waft over us, so we shall be revived.
𒁹𒈨𒌅𒆸𒇡𒄷𒋼𒋙	01-me TU.GUR₄ ṣar-hu-te-šu₂ 	100 turtledoves, served hot;
𒌗𒉈𒉈𒃻𒌓𒐊𒄰𒇷𒈬𒁹𒀭𒀝𒁁𒉌𒌑𒀫𒇽𒃻𒆳𒇽𒃻𒆳𒌷𒂦𒈗𒊌𒅗	{ITI}-NE.NE.GAR UD.5.KAM li-mu {m}-{d}-AG-be-li₂-u₂-ṣur {LU₂}-GAR.KUR {LU₂}-GAR.KUR {URU}-BAD₃-LUGAL-uk-ka 	Abu (V), fifth day, eponymy of Nabû-bēlī-uṣur, governor of the city Dūr-Šarrukku (672 BC).
𒀸𒉿𒈫𒋙𒉡𒊏𒉺𒀾𒋾...	ina PI.2-šu₂-nu ra-pa-aš₂-ti ... 	Through their wide understanding they ... 
𒀯𒉌𒁁𒀀𒉡𒀸𒌗𒉈𒀀𒂇𒂗𒈾𒀉𒋾𒀯𒍣𒁀𒀭𒈾𒐖𒌍𒌑𒂅𒅅𒋼𒊒𒌒𒀾𒃻𒀉𒁲𒄷𒋙𒉿𒂡𒋙𒀀𒈾𒈗𒁁𒉌𒅀𒀀𒉺𒅁𒉺𒊏	{MUL}-ṣal-bat-a-nu ina {ITI}-NE a-mir en-na it-ti {MUL}-ZI.BA.AN.NA 150 u₂-ṭu iq-te-ru-ub aš₂-ša₂ iṭ-ṭe-hu-šu₂ pi-šir₃-šu₂ a-na LUGAL be-li₂-ia a-šap-pa-ra 	Mars was sighted in the month of Ab (V); now it has approached within 2.5 spans (= 3°30') of Libra. As soon as it has come close to it, I shall write its interpretation to the king, my lord.
𒀴𒅗𒁹𒌌𒇻𒁀𒀀𒀀𒀀𒈾𒁲𒈾𒀭𒈗𒁁𒉌𒅀𒈜𒌨𒌝𒈠𒀀𒀀𒈾𒈗𒁁𒉌𒅀𒀀𒈠	ARAD-ka {1}-ul-lu-ba-a.a a-na di-na-an LUGAL be-li₂-ia lul-lik um-ma-a a-na LUGAL be-li₂-ia-a-ma 	Your servant Ullubaya: I would gladly die for the king, my lord! Say to the king, my lord:
𒁹𒆪𒁹𒌍𒉽𒈨𒌍𒋢𒌋𒌋𒆳𒀸𒂍𒀀𒈾𒀭𒍝𒂷𒂷𒆕	ana-ku {m}-30-PAP.MEŠ-SU MAN KUR AŠ E₂ a-na {d}-za-ba₄-ba₄ DU₃ 	I, Sennacherib, king of Assyria, built (this) temple for the god Zababa.
...𒊺𒆰𒋙𒉡	... {ŠE}-NUMUN-šu₂-nu 	their seed-corn ... 
𒋳𒈠𒀸𒌗𒀳𒆷𒀉𒁷𒆬𒌓𒀀𒈾𒐊𒂆𒋙𒄿𒊐𒁉	šum-ma ina {ITI}-APIN la id-din KUG.UD a-na 05 GIN₂-šu₂ i-rab-bi 	If he does not pay in Marchesvan (VIII), the silver shall increase by 50 percent.
𒀸𒌋𒅗𒇯𒇷...	ina UGU du₆-li ... 	concerning the work on ... 
𒌋𒌋𒉡𒀜𒋫𒇽𒀀𒁀𒊭𒋫𒊓𒋢𒌋𒉌𒋬𒅆𒈗𒂗𒅗𒆷𒌅𒉺𒇡𒁕𒀊𒋾𒀸𒅆𒈗𒆥𒁉𒂗𒀭𒀝𒁕𒀊𒋫𒅗𒀸𒅆𒈗𒌨𒁉𒌑	man-nu at-ta {LU₂}-A.BA ša ta-sa-su-u-ni TA@v IGI LUGAL EN-ka la tu-pa-zar ṭa-ab-ti ina IGI LUGAL qi-bi EN {d}-AG ṭa-ab-ta-ka ina IGI LUGAL liq-bi-u₂ 	Whoever you are, O scribe, who are reading (this letter), do not hide it from the king, your lord! Speak for me before the king, so Bel (and) Nabû may speak for you before the king.
𒀭𒀀𒉏𒀜𒀭𒈨𒌍𒁀𒉡𒌋𒅗𒆷𒈬𒋫𒍝𒄯𒀀𒈨𒌍𒀸𒋗𒈫𒀭𒌍𒊒𒁲𒊮𒈩𒌓𒋫...𒊮𒀭𒅗𒊮𒉆𒅗𒋗𒈫𒀭𒅗𒀭𒅖𒋻𒅗𒈜𒉺𒀜𒋛𒀀𒅗𒋳𒋡𒁉𒈠...	{d}-a-num AD DINGIR-MEŠ ba-nu-u ka-la-mu ta-za-mur A-MEŠ ina ŠU.2 {d}-30 ŠUB-di ŠA₃ rit-tu₂ ta-... ŠA₃ DINGIR-ka ŠA₃ NAM-ka ŠU.2 DINGIR-ka {d}-IŠ.TAR-ka lip-pa-aṭ-ṭir-ka taq-qa-bi-ma ... 	You throw hand-water to Sîn, ... the ‘heart’ (and) ‘wrist,’ and say: “May the heart of your god, the heart of your fate, the hand of your god and the hand of your goddess become disengaged for you!” You say (thus) and ... 
𒍜𒆲...𒀸𒀀𒈨𒌍𒍜𒆷𒍢𒁍𒀸𒅆𒀸𒋩𒄿𒃼𒆗	{UZU}-KUN ... ina A-MEŠ—UZU la ṣi-pu ina IGI aš-šur i-qar-rib 	The tail ... he offers to Aššur without soaking it in bouillon. 
𒁹𒀭𒉺𒋼𒀀𒅕𒀭𒉌𒇽𒊭𒂗𒉣𒁹𒌋𒐊𒈬𒄰𒊩𒋢𒊭𒃲𒌋𒋥𒃲𒌋𒋥𒌑𒊒𒌋𒊭𒀲𒆳𒊏𒈨𒌍𒆳𒈬𒀫𒀀𒀀𒀸𒌋𒅗𒄭𒅀𒈾𒍝𒈠𒀀𒀀𒁁𒈗𒅆𒄿𒈠𒀀𒀲𒆳𒊏𒀸𒌷...𒊺𒊑𒁀...	{1}-{d}-PA—KAR-ir-an-ni {LU₂}-ša—EN.NUN {1}-15—MU—KAM {LU₂~v}-rak-su ša {LU₂~v}-GAL—u-rat {LU₂~v}-GAL—u-rat u₂-ru-u ša {ANŠE}-KUR.RA-MEŠ {KUR}-mu-ṣur-a.a ina UGU-hi-ia na-ṣa ma-a a-bat LUGAL ši-i ma-a {ANŠE}-KUR.RA ina {URU}-... še-ri-ba ... 	The guard Nabû-eṭiranni and Issar-šumu-ereš, a recruit of the team commander, brought me a team of Egyptian horses, saying: "This is a royal order: ‘Bring the horse(s) into the city of ... 
𒀭𒌓𒂗𒍢𒊑𒌌𒌅𒌓𒈨𒊒𒄣𒌅𒅀𒀀𒅆𒌑𒋡𒈠𒀭𒉌𒀭𒈾𒃻𒅆𒋾𒌍𒁇𒀀𒆠𒉏𒊭𒊭𒆷𒈬𒈨𒊑𒐊𒌋𒆲𒉡𒌍𒊑𒂊𒋾𒀭𒌓𒅇𒀭𒅎𒌑𒃻𒀾𒆠𒉡𒄿𒈾𒋼𒅕𒋾𒅀	{d}-UTU EN ṣi-ri ul-tu UD.ME ru-qu-tu ia-a-ši u₂-qa-wa₆-an-ni an-na ša₂-lim-ti EŠ.BAR-a ki-nim ša ša-la-mu šip-ri-ia₂ u kun-nu eš-re-e-ti {d}-UTU u₃ {d}-IŠKUR u₂-ša₂-aš₂-ki-nu i-na te-er-ti-ia 	O Anunītu, exalted lady, speak good things about me in the presence of the god Enlil daily.
...𒁉...𒊭𒀀𒈾𒋗𒋗𒌒𒉌𒁺𒌓𒊻𒉌𒋗o𒌑𒆠𒅔𒉡...𒆰𒉌𒅆𒀭𒋀𒆠...	... bi ... ša a-na šu-šu-ub ni-du-tu₂ uz-ni-šu o u₂-ki-in-nu ... kul ni ši {d}-ŠEŠ.KI ... 	... whose mind, Nanna, the ... , has  turned to (re)settling the wasteland.
...𒌑𒊓𒀾𒀖𒅇𒀴𒈨𒌍𒃮𒁍...𒌑𒂗𒅔𒁹𒀭𒉺𒋳𒋃𒈠𒌑𒊓𒀾𒀖𒈠𒀀𒀸𒌋𒅗𒉿𒅀𒇷𒁍𒋗	... u₂-sa-aš₂-liṭ u₃ {LU₂~v}-ARAD-MEŠ gab-bu ... u₂ EN in {1}-{d}-PA—tak-lak-ma u₂-sa-aš₂-liṭ ma-a ina UGU pi-ia le-pu-šu 	Yet Nabû-taklak has also claimed authority over all the servants of ... , saying: "They should do as I command, the house of my lord should not exercise authority (over them)."
𒀭𒀸𒋩𒀭𒁁𒄀𒉡𒌋𒄀𒉡𒌑𒊓𒇷𒈠𒆪𒉡	{d}-aš-šur {d}-BE gi-nu-u gi-nu-u₂ sa-li-ma-ku-nu 	Aššur and Illil — regular offerings, regular offerings are your reconciliation!
𒀭𒈾𒈾𒀀𒃻𒌌𒌅𒐕𒌋𒐕𒌋𒐌𒍑𒌋𒐊𒈬𒀭𒈾𒈨𒌍𒋫𒀾𒁍𒋗𒈠𒌅𒅆𒁍𒀀𒊬𒆷𒋛𒈠𒋾𒃻𒀀𒁲𒌓𒈬𒅎𒇻𒌑𒅅𒋗𒁕𒀀𒆗𒉡𒀀𒋃𒃻𒀀𒈾𒀕𒆠𒂊𒆗𒃻𒀀𒈾𒂍𒄭𒇷𒀭𒈾𒅅𒁍𒌑𒈗...𒀸𒆠𒂍𒀭𒊹...	{d}-na-na-a ša₂ ul-tu GEŠ₂.U GEŠ₂.U 7 UŠ 15 MU.AN.NA.MEŠ ta-aš₂-bu-šu-ma tu-ši-bu a-šar la si-ma-ti-ša₂ a-di u₄-mu im-lu-u₂ ik-šu-da a-dan-nu a-lak-ša₂ a-na UNUG {KI} e-reb-ša₂ a-na e₂-hi-li-an-na iq-bu-u₂ LUGAL ... ina qi₂-bit AN.ŠAR₂ ... 	(As for) the goddess Nanāya, who 1,635 years (ago) became angry and (went to) live in a place not befitting her, as soon as the time had come (and) the fixed time had arrived, they (the gods) commanded her journey (back) to Uruk (and) her (re)entry into Eḫiliana. The king ... by the command of (the god) Aššur ... 
𒁹𒆗𒀀𒁹𒀭𒀸𒆗𒅔𒈗𒂗𒈨𒌍𒂗𒈨𒌍...	{1}-dan-a {1}-{d}-aš—KALAG-in—LUGAL EN—MEŠ EN—MEŠ ... 	Dannaya (and) Aššur-da''in-šarru, reporters... 
𒇻𒌑𒁹𒅖𒆗𒇻𒌑𒆳𒋫𒁀𒇴𒀀𒀀𒇻𒌑...𒇻𒌑𒇽𒉽𒌋𒌋𒈠𒇻𒌑𒀸𒆗𒌓𒈪𒇻𒌑𒀸𒆳𒈬𒅆𒄿𒇡𒊑𒈬𒌑𒄿𒆏𒉿𒁺𒌑𒁹𒌋𒅗...𒁹𒃻𒀭𒀝𒋗𒌑𒌋𒀉𒆗𒋛𒀀𒆠𒋗𒄿𒈠𒀝𒄣𒌅𒈠𒄿𒂁𒆪𒌑𒄿𒆸𒁀𒌅𒊮𒁉𒃻𒁹𒀭𒊹𒋀𒋧𒈾	lu-u₂ {1}-iš-kal-lu-u₂ {KUR}-ta-ba-lam-a.a lu-u₂ ... lu-u₂ {LU₂}-KUR₂ mam-ma lu-u₂ ina kal—UD-mi lu-u₂ ina šat—mu-ši i-ṣar-ri-mu-u₂ i-kap-pi-du-u₂ ana UGU ... {1}-ša₂—{d}-AG—šu-u₂ u A₂.KAL mal₂ KI-šu i-ma-aq-qu-tu-ma i-duk-ku-u₂ i-hab-ba-tu ŠA₃-bi ša₂ {1}-AN.ŠAR₂—ŠEŠ—SUM-na 	mount an attack against ... Ša-Nabû-šû and his army, and kill and plunder (them)?
𒌌𒌅𒁷𒌁𒆠𒀀𒁲...𒋾...	ul-tu TIN.TIR {KI} a-di ... ti ... 	from Babylon to ... 
𒀭𒄑𒉢𒈬𒄀𒈾𒄊𒀴𒁷𒌁𒆠...𒌑𒊺𒄫𒈠𒄑𒈣...𒈥𒍢𒅖𒅁𒉽𒆷...𒅖𒁲𒄴...𒀀𒈾𒊒𒆪𒁍𒁁𒇻𒋾𒋙𒃲𒌓𒀀𒆷𒆪𒌋𒋫𒀀𒊒...𒀭𒋃𒆕𒆠𒊹𒊏𒉺𒆤𒆧𒆳𒀭𒂊𒌋𒆠𒁴𒀸...𒀀𒈾𒇯𒁺𒋙𒂊𒈠𒈬𒌑𒍣𒁴𒆳𒁀𒆳𒍣𒁴𒂍𒆧...	{d}-GIŠ.NU₁₁-MU-GI.NA GIR₃.NITA₂ TIN.TIR {KI} ... u₂-še-piš-ma {GIŠ}-MA₂ ... mar-ṣi-iš ib-bab-la ... iš-di-ih ... a-na ru-ku-bu be-lu-ti-šu₂ GAL-tu₂ a-la-ku u ta-a-ru ... {d}-šid-du₃-ki-šar₂-ra pa-qid kiš-šat AN-e u KI-tim AŠ ... a-na E₁₁-šu₂ e-ma mu-u₂ ZI-ti₃ KUR ba-laṭ ZI-ti₃ E₂ kiš-... 	Šamaš-šuma-ukīn, viceroy of Babylon ... had (this) ... made and a boat ... it was brought with difficulty ... procession ... for the conveyance of his great lordship, (for his) going and returning ... , the god Šiddukišarra, who administers all of heaven and netherworld ... for his descent where water, the life of the land, the well-being of the house ... 
...𒀭𒁁𒀖𒀭𒈨𒌍𒊏𒋾𒌋𒌋𒋛𒀀𒃻𒇻𒃻𒀀...	... {d}-be-lit—DINGIR-ME eš-ra-ti min₃-si a-ša₂-lu ša₂ a-... 	... I asked ... Belet-ili, "Why?" ... 
𒌷𒋻𒁍𒋛𒁀	{URU}-tar-bu-si-ba 	Til-Barsip             
𒁹𒌋𒌋𒅆𒇲𒀀𒉌𒇽𒐈𒋙𒀀𒌋𒌋𒀀𒌋𒌋	{1}-MAN—IGI.LAL-a-ni {LU₂}-03-šu₂ A—MAN A—MAN 	Šarru-emuranni, 'third man' of the crown prince;
𒀭𒌓𒌋𒀭𒀫𒌓𒀀𒈾𒌉𒈗𒌉𒈗𒁁𒉌𒅀𒌨𒊒𒁍	{d}-UTU u {d}-AMAR.UTU a-na DUMU—LUGAL DUMU—LUGAL be-li₂-ia lik-ru-bu 	May Šamaš and Marduk bless the crown prince, my lord!
...𒈠𒈾𒆬𒌓	... MA.NA KUG.UD 	Total, ... minas of silver.
𒁹𒀜𒁲𒄿𒁹𒈗𒇻𒆕𒊑𒁹𒁀𒄖𒋢	{1}-ad-di-i {1}-LUGAL—lu—da₃-ri {1}-ba-gu-su 	Addî, Šarru-lu-dari, Bagusu:
...𒈠𒀀𒋧𒈠𒀸𒀀𒇉...	... ma-a šum₂-ma ina ID₂ ... 	... if in the river ... 
𒈫𒀲𒆳𒊏𒈨𒌍𒊭𒁁𒄬𒇷	02 {ANŠE}-KUR.RA-MEŠ ša BAD-HAL-li 	2 cavalry mounts, 
...𒊭𒌋𒌋𒁁𒉌𒅖𒁓𒀭𒉌...𒅆𒁍𒌋𒉌	... ša MAN be-li₂ iš-pur-an-ni ... ši-bu-u-ni 	Concerning NN, about whom the king, my lord wrote to me, ... dwelt
...𒋾𒆷𒆳...	... TI.LA KUR ... 	... will achieve life ... 
𒆷𒀾𒋙𒌋𒌋𒉡𒃻𒀸𒌨𒆧𒀸𒈠𒋼𒂊𒈠𒄿𒄃𒌋𒉌𒆜𒁍𒀀𒈾𒌋𒈨𒌍𒋼𒀀𒈾𒂗𒈨𒌍𒋙𒄥𒊏	la-aš₂-šu₂ man-nu ša₂ ina ur-kiš ina ma-te-e-ma i-GIL-u-ni kas-pu a-na 10-MEŠ-te a-na EN-MEŠ-šu₂ GUR-ra 	Whoever in the future, at any time, lodges a complaint, shall return the money tenfold to its owners.
...𒀭𒈨𒌍𒋙𒉡𒈬𒃻𒀝𒇷𒅋𒋗𒈛𒄭𒋗𒌦𒊭𒀭𒀫𒌓𒀀𒈾𒋗𒋗𒁍𒈠𒄩𒍝𒀭𒈨𒌍𒄯𒁍𒌓𒅎𒁍𒌑𒉌𒂍𒋛𒇯𒈨𒌍𒈾𒁺𒋾𒌍𒊑𒂊𒋾𒀭𒈨𒌍𒅖𒆪𒉡𒋡𒌅𒍑𒋙	... DINGIR.MEŠ-šu₂-nu mu-ša₂-ak-li-il šu-luh-hi-šu-un ša {d}-AMAR.UTU a-na šu-šu-bu ma-ha-za DINGIR.MEŠ har-bu-tu₂ im-bu-u₂ ni-bit-si DU₆.MEŠ na-du-ti eš-re-e-ti DINGIR.MEŠ iš-ku-nu qa-tu-uš-šu₂ 	of their deities, the one who carries out their purification rites to perfection, whose name the god Marduk called to (re)settle the desolate cult center(s) of the gods, (and) in whose hands he placed the abandoned mounds (that were) the sanctuaries of the gods.
𒅆𒁹𒀴𒀭𒌓𒅆𒁹𒀭𒌓𒋢	IGI {1}-ARAD—{d}-UTU IGI {1}-{d}-UTU—SU 	Witness Urda-Šamaš. Witness Šamaš-eriba.
...𒌷𒉌𒆥𒌅𒌒𒇷𒅖	... {URU}-ni-qi—tu-ub-li-iš 	... Niqi-Tubliš
...𒇻...𒉏𒆏𒁓	... UDU ... NIM kab-bur 	x fat sheep and spring lambs;
