I brought ... and gave ... where ... 	... and shall send ... 
NN, a subordinate of Zami... ; ... a', a servant of NN, and ... am, a subordinate of Harmi... — these three merchants are my witnesses; they are not involved.	E... , a subordinate of Ariye, and Babisu... , a subordinate of Ariazâ; he did not capture them in the mountain ... 
Witness Urda-Inurta, scribe.	Witness Ubru-Issar, servant of ... 
He pours out a libation bowl. While bread is being placed (on the table), he treats the gods, performs a funerary offering, and performs sheep offerings.	He should sit down on the 15th and get up on the 22nd; on the 24th day the king should go down to the river and perform his ritual."
After Nabû-šuma-iškun and Sîn-duri libelled me to the king,	May Nabû and Marduk bless the king, my lord!
Month Elul (VI), 28(th) day, eponym year of Šamaš-šarru-ibni.	Month ... , 23rd day, eponym year of Zazaya.
Now I have heard that he has relented in their hands (and) listened to them, (and) has gone (and) given orders to the whole of Elam in accordance with their command. They have prepared their travel provisions ... 	The herald has entered the house of Zera-iddin, gathered the inhabitants of the country (and) the Malakites, and entered them into a temple. They keep watch over them, and have ... ed the ... of Zera-iddin ... "
The priest performs sheep offerings, ... , does malāhu, ... s to ... , cleans the table, (and) sweeps the room with a broom ... 	The priests entered it from the front side of the city gate and came as far as the front side of the main room. 
... has exceeded Der ... 	... whom the king ... 
If the moon at its appearance is high and becomes visible: the enemy will plunder in the land.	If the moon is surrounded by a halo, and two stars stand in the halo with the moon: a reign of long days.
to Nabû-tartiba-uṣur	... Nabû-mar-šarri-uṣur
May a later prince, when that wall, ziggurrat, and gate become dilapidated, restore them. (Then) the goddess Ištar will listen to his prayers.	The gods Aššur and Adad will listen to the prayers of a later prince when that wall becomes dilapidated and he rebuilds (it). May (the same prince) restore my clay cone to its place.
Witness Ziziya, ditto.	Witness ... 
we want to become strong ... 	... whom the king ... 
Otherwise, ... to Kiṣir-Aššur.	there is ... 
The goldsmiths say they need more gold.	The forts and the land of the king, my lord, are well.
Seal of Nergal-šarru-uṣur, ... 	... of Dur-Šarrukku ... 
the lady Ekallitu in ... 	... whom the king ... 
A Babylonian has come to me, saying: "I have things to say; let them take me to the Palace" —	As to what the king, my lord, wrote to me: "When are they going to cast the gate column-bases for the portico of the hilānu palaces?"
Witness Nuhšaya, ... conscript.	Witness ... 
... , his son, ... s ... 	... whom the king ... 
For the second time ... 	... whom the king ... 
The king, my lord, should write to Saniye, the city lord, that he should arrest these Kummeans and send them to the king, my lord.	To the king, my lord: your servant NN. Good health to the king, my lord!
The king of Elam ... is in Bit-Bunakki.	The king, our lord, should know (this).
wood ... 	when ... 
Witness ... ni, 2 (witnesses from) Šuru.	Witness Našuh-ayali, witness Ahi-le'i, viziers.
4 heads (and) breasts of x roast sheep.	40 hectares of land are assigned to Marduk-eṭir.
My ... , whom ... to ... 	... whom the king ... 
NN, son of Balasu, ... 	4 minas ... ;
In the hidden depths of its subterranean waters I very firmly bonded reeds below (and) bitumen above with large (blocks of) limestone. I raised a plot of land that was 554 cubits long (and) 289 cubits wide out of the water and converted (it) into an empty lot. (40) I added (it) to the former dimensions of the terrace, and raised its superstructure in its entirety 190 courses of brick. I enlarged the structure of the palace to 914 large cubits along (its) longer side and 440 large cubits along (its) shorter side and (thus) I made its site bigger.	I raised its superstructure in its entirety 190 courses of brick. I enlarged the structure of the palace to 700 large cubits along (its) longer side and 440 large cubits along (its) shorter side and (thus) I made its site bigger.
In intercalary Adar (XII/2) on the 14th day the moon will be seen with the sun.	If the moon and sun are in balance: reliable speech will be placed in the mouth of people; ... ; i.e. on the 14th day (the moon) will be seen with the sun.
a total of 31 Kushite (horses), 49 cavalry mounts — 80 horses  in all — have come in today.	a total of 246 Kushite horses have come in today.
... saying: "Just as	... dust
in all 7 bronzesmiths; 1 of 4 spans' height; 1 3 spans' height; 5 ... 	Se'-napi, gardener; 1 son of 4 spans' height; 1 woman: a total of 3. 
Should Esarhaddon, king of Assyria, strive and plan? Should he summon the governor of ... along with men, horses, and army, as (great as) he wishes, and send them to collect a tribute of horses?	within this stipulated term, should Esarhaddon, king of Assyria, strive and plan, and send ... where the ... eans are located?
... a libation jar ... 	4 minas ... ;
I will come out ... with them	let him attack ... the archers
total, 3, in the Land of the ... Official;	... ditto, ditto, the front red, of the port; 4 ... ;
... rib of ... ;	4 minas ... ;
The watchtowers of the middlemost gate and the outer gate have collapsed; (and) one ... house outside the city garrison and one inside it have collapsed.	They have constructed reed huts on the other side of Bab-bitqi and live  there. They have 2,000 horses and 90 chariots, (but they are) not in fighting  spirit.
Witness Mannu-ki-Adad, ... 	Witness ... 
... the Ru'uean(s)	... they removed again
The 'station' is present. The beginning of the 'path' ... 	... is present. The left of the gall bladder is attached.
... The vertebrae are recessed ... 	... and shall send ... 
I shall deliver the ... to the governor of Arbela in ... ; I shall deliver the ... to the Palace Herald in ... ispi.	I have not come to the presence of the king, but I shall not quit the king's work, I have not ... ed the ... which they placed before the king, my lord.
A tablet of Datâ to her brother Šumu-iddina.	a total of 29 horses have come in today.
Samsi-... ,	4 minas ... ;
They said: "... are glazing ... commanded me ... "	The 'paths' are 2, the lower one ... toward ... 
Letter of Taqiša to Aššur-šarru-uṣur.	Total 6: Nabû-šarru-uṣur.
If the moon becomes visible on the 1st day: reliable speech; the land will  become happy.	If the moon is seen at an inappropriate time: dispersal of a city.
which I didn't see, the house ... 	the king's mother ... 
A bow ... 	4 minas ... ;
the outpost and the garrison	let him attack ... the archers
Disregard what happens after my stipulated term; disregard that they should think about it but turn back and go away... 	Disregard that I, the haruspex your servant, have jumbled the oracle query in my mouth, or changed (or) altered the proceedings... 
The 'mass' rides upon the left side of the gall bladder.	... is present. The left of the gall bladder is attached.
The base of the gall bladder is loose on the right, firm on the left... 	If the left of the gall bladder is attached: your expeditionary force will slay the enemy.
adjoining the vineyard of Ahu-duri,	adjoining the house of Ṣil-Nabû,
... whether prince, or viceroy, or overseer, or lieutenant ... 	... wherever he goes ... 
... anywhere	... we captured
You sing: “Bright Lord, king of the gods” ... 	in the lap of Ištar, gold ... 
Whoever in the future, at any time, lodges a complaint, whether ... kiki or his sons, and seeks a lawsuit or litigation against Milki-nuri,	Whoever in the future, at any time, whether Daddî or his sons or brothers, or his ... or any relative of his, whoever lodges a  complaint and seeks  a lawsuit or litigation against Remanni-Adad,  his sons and grandsons,
Witness Mahsi-Ia'u.	Witness ... 
All water from the Euphrates that ... 	... wherever he goes ... 
... the harvest of the city ... 	... whom the king ... 
A district of Urarṭu called ... 	in the lap of Ištar, gold ... 
On a <single> day he burned (alive) sixteen Cuthians with fire in the gate of the god Zababa, which is inside Babylon.	(... ) I stationed six fierce wild bulls of silver, protectors of my royal path, in ... , in the gateway(s) of Ezida, which is inside Borsippa.
Nabû-bel-šumate;	Nabu-belu-usur,
